Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	Hit
GO:0001676~long-chain fatty acid metabolic process	GOTERM_BP_DIRECT	10	12.82051282	9.15E-18	"ENSMUSG00000059316, ENSMUSG00000018796, ENSMUSG00000031808, ENSMUSG00000024900, ENSMUSG00000002944, ENSMUSG00000030382, ENSMUSG00000032281, ENSMUSG00000024600, ENSMUSG00000020333, ENSMUSG00000027359"	75	18	18082	133.9407407	5.71E-15	1.14E-15	1.03E-13	Hit
GO:0006641~triglyceride metabolic process	GOTERM_BP_DIRECT	11	14.1025641	4.01E-16	"ENSMUSG00000031278, ENSMUSG00000037071, ENSMUSG00000032079, ENSMUSG00000018796, ENSMUSG00000024900, ENSMUSG00000002944, ENSMUSG00000026385, ENSMUSG00000050553, ENSMUSG00000025059, ENSMUSG00000032081, ENSMUSG00000020333"	75	39	18082	68.00068376	2.77E-13	4.17E-14	3.74E-12	Low
GO:0008152~metabolic process	GOTERM_BP_DIRECT	21	26.92307692	1.62E-15	"ENSMUSG00000059316, ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000030382, ENSMUSG00000062908, ENSMUSG00000029098, ENSMUSG00000027875, ENSMUSG00000024981, ENSMUSG00000032281, ENSMUSG00000026003, ENSMUSG00000021751, ENSMUSG00000028603, ENSMUSG00000020333, ENSMUSG00000027359, ENSMUSG00000022853, ENSMUSG00000018796, ENSMUSG00000031808, ENSMUSG00000020777, ENSMUSG00000024207, ENSMUSG00000036138, ENSMUSG00000010651"	75	463	18082	10.93511879	1.04E-12	1.33E-13	1.19E-11	Low
GO:0015909~long-chain fatty acid transport	GOTERM_BP_DIRECT	8	10.25641026	1.70E-15	"ENSMUSG00000059316, ENSMUSG00000031808, ENSMUSG00000054422, ENSMUSG00000002944, ENSMUSG00000028773, ENSMUSG00000023057, ENSMUSG00000078937, ENSMUSG00000000440"	75	10	18082	192.8746667	1.04E-12	1.33E-13	1.19E-11	Low
GO:0044539~long-chain fatty acid import	GOTERM_BP_DIRECT	6	7.692307692	2.09E-11	"ENSMUSG00000059316, ENSMUSG00000032883, ENSMUSG00000018796, ENSMUSG00000002944, ENSMUSG00000028773, ENSMUSG00000027359"	75	7	18082	206.6514286	1.30E-08	1.45E-09	1.30E-07	Low
GO:0042632~cholesterol homeostasis	GOTERM_BP_DIRECT	9	11.53846154	1.72E-10	"ENSMUSG00000028240, ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000028773, ENSMUSG00000002108, ENSMUSG00000015568, ENSMUSG00000032083, ENSMUSG00000032081, ENSMUSG00000062515"	75	63	18082	34.44190476	1.08E-07	1.08E-08	9.66E-07	Low
GO:0000038~very long-chain fatty acid metabolic process	GOTERM_BP_DIRECT	6	7.692307692	4.22E-09	"ENSMUSG00000059316, ENSMUSG00000020777, ENSMUSG00000030382, ENSMUSG00000032281, ENSMUSG00000036138, ENSMUSG00000027359"	75	16	18082	90.41	2.63E-06	2.39E-07	2.15E-05	Low
GO:0055114~oxidation-reduction process	GOTERM_BP_DIRECT	17	21.79487179	1.09E-08	"ENSMUSG00000028240, ENSMUSG00000026170, ENSMUSG00000062908, ENSMUSG00000050195, ENSMUSG00000029098, ENSMUSG00000025202, ENSMUSG00000026003, ENSMUSG00000021751, ENSMUSG00000025203, ENSMUSG00000024665, ENSMUSG00000022853, ENSMUSG00000037071, ENSMUSG00000020777, ENSMUSG00000032418, ENSMUSG00000050445, ENSMUSG00000066072, ENSMUSG00000066071"	75	676	18082	6.062998028	6.79E-06	5.66E-07	5.08E-05	Low
GO:0006869~lipid transport	GOTERM_BP_DIRECT	9	11.53846154	1.68E-08	"ENSMUSG00000059316, ENSMUSG00000032079, ENSMUSG00000031808, ENSMUSG00000005681, ENSMUSG00000020405, ENSMUSG00000032083, ENSMUSG00000032081, ENSMUSG00000028603, ENSMUSG00000017754"	75	111	18082	19.54810811	1.05E-05	8.07E-07	7.25E-05	Low
GO:0006633~fatty acid biosynthetic process	GOTERM_BP_DIRECT	8	10.25641026	2.08E-08	"ENSMUSG00000037071, ENSMUSG00000032883, ENSMUSG00000002108, ENSMUSG00000050195, ENSMUSG00000025202, ENSMUSG00000015568, ENSMUSG00000025203, ENSMUSG00000024665"	75	74	18082	26.06414414	1.30E-05	9.27E-07	8.32E-05	Low
GO:0070328~triglyceride homeostasis	GOTERM_BP_DIRECT	6	7.692307692	7.53E-08	"ENSMUSG00000032079, ENSMUSG00000002108, ENSMUSG00000015568, ENSMUSG00000032083, ENSMUSG00000032081, ENSMUSG00000002289"	75	27	18082	53.5762963	4.70E-05	2.94E-06	2.64E-04	Low
GO:0043401~steroid hormone mediated signaling pathway	GOTERM_BP_DIRECT	7	8.974358974	7.53E-08	"ENSMUSG00000002250, ENSMUSG00000015846, ENSMUSG00000002108, ENSMUSG00000022383, ENSMUSG00000039656, ENSMUSG00000015843, ENSMUSG00000000440"	75	53	18082	31.84251572	4.70E-05	2.94E-06	2.64E-04	Low
GO:0042157~lipoprotein metabolic process	GOTERM_BP_DIRECT	6	7.692307692	1.85E-07	"ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000030162, ENSMUSG00000022383, ENSMUSG00000032083, ENSMUSG00000032081"	75	32	18082	45.205	1.15E-04	6.79E-06	6.09E-04	Low
GO:1903966~monounsaturated fatty acid biosynthetic process	GOTERM_BP_DIRECT	4	5.128205128	2.62E-07	"ENSMUSG00000037071, ENSMUSG00000050195, ENSMUSG00000025202, ENSMUSG00000025203"	75	4	18082	241.0933333	1.64E-04	9.10E-06	8.16E-04	Low
GO:0006636~unsaturated fatty acid biosynthetic process	GOTERM_BP_DIRECT	5	6.41025641	3.41E-07	"ENSMUSG00000037071, ENSMUSG00000050195, ENSMUSG00000025202, ENSMUSG00000025203, ENSMUSG00000024665"	75	15	18082	80.36444444	2.13E-04	1.12E-05	0.001004744	Low
GO:0006810~transport	GOTERM_BP_DIRECT	24	30.76923077	5.31E-07	"ENSMUSG00000059316, ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000054422, ENSMUSG00000026385, ENSMUSG00000028773, ENSMUSG00000027533, ENSMUSG00000032083, ENSMUSG00000023057, ENSMUSG00000032081, ENSMUSG00000028427, ENSMUSG00000028603, ENSMUSG00000062515, ENSMUSG00000024665, ENSMUSG00000025006, ENSMUSG00000019874, ENSMUSG00000028607, ENSMUSG00000031808, ENSMUSG00000024900, ENSMUSG00000002944, ENSMUSG00000020405, ENSMUSG00000031710, ENSMUSG00000078937, ENSMUSG00000017754"	75	1822	18082	3.175762898	3.31E-04	1.66E-05	0.001485668	Low
GO:0019395~fatty acid oxidation	GOTERM_BP_DIRECT	5	6.41025641	5.91E-07	"ENSMUSG00000002250, ENSMUSG00000022878, ENSMUSG00000020777, ENSMUSG00000002944, ENSMUSG00000000440"	75	17	18082	70.90980392	3.69E-04	1.76E-05	0.001575223	Low
GO:0055088~lipid homeostasis	GOTERM_BP_DIRECT	6	7.692307692	6.69E-07	"ENSMUSG00000020777, ENSMUSG00000002108, ENSMUSG00000062908, ENSMUSG00000029098, ENSMUSG00000026003, ENSMUSG00000021751"	75	41	18082	35.28195122	4.17E-04	1.90E-05	0.001701993	Low
GO:0033539~fatty acid beta-oxidation using acyl-CoA dehydrogenase	GOTERM_BP_DIRECT	5	6.41025641	9.56E-07	"ENSMUSG00000020777, ENSMUSG00000062908, ENSMUSG00000029098, ENSMUSG00000026003, ENSMUSG00000021751"	75	19	18082	63.44561404	5.96E-04	2.59E-05	0.002327816	Low
GO:0019433~triglyceride catabolic process	GOTERM_BP_DIRECT	5	6.41025641	1.19E-06	"ENSMUSG00000032079, ENSMUSG00000015568, ENSMUSG00000032083, ENSMUSG00000030546, ENSMUSG00000032081"	75	20	18082	60.27333333	7.43E-04	3.10E-05	0.002779902	Low
GO:0010873~positive regulation of cholesterol esterification	GOTERM_BP_DIRECT	4	5.128205128	5.43E-06	"ENSMUSG00000037071, ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000032083"	75	9	18082	107.1525926	0.003382718	1.30E-04	0.011695809	Low
GO:0042759~long-chain fatty acid biosynthetic process	GOTERM_BP_DIRECT	4	5.128205128	5.43E-06	"ENSMUSG00000037071, ENSMUSG00000050195, ENSMUSG00000025202, ENSMUSG00000025203"	75	9	18082	107.1525926	0.003382718	1.30E-04	0.011695809	Low
GO:0050873~brown fat cell differentiation	GOTERM_BP_DIRECT	5	6.41025641	1.09E-05	"ENSMUSG00000037071, ENSMUSG00000022878, ENSMUSG00000031710, ENSMUSG00000000440, ENSMUSG00000062515"	75	34	18082	35.45490196	0.006790985	2.52E-04	0.022648994	Low
GO:0007584~response to nutrient	GOTERM_BP_DIRECT	6	7.692307692	1.21E-05	"ENSMUSG00000059316, ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000018796, ENSMUSG00000022878, ENSMUSG00000032083"	75	73	18082	19.81589041	0.007525514	2.70E-04	0.024211306	Low
GO:0034375~high-density lipoprotein particle remodeling	GOTERM_BP_DIRECT	4	5.128205128	1.41E-05	"ENSMUSG00000005681, ENSMUSG00000032083, ENSMUSG00000032081, ENSMUSG00000017754"	75	12	18082	80.36444444	0.008757878	3.03E-04	0.027221369	Low
GO:0009409~response to cold	GOTERM_BP_DIRECT	5	6.41025641	2.11E-05	"ENSMUSG00000031808, ENSMUSG00000062908, ENSMUSG00000015568, ENSMUSG00000026003, ENSMUSG00000000440"	75	40	18082	30.13666667	0.013094778	4.39E-04	0.039430733	Low
GO:0006656~phosphatidylcholine biosynthetic process	GOTERM_BP_DIRECT	4	5.128205128	2.32E-05	"ENSMUSG00000031808, ENSMUSG00000005681, ENSMUSG00000027533, ENSMUSG00000032083"	75	14	18082	68.88380952	0.014364544	4.67E-04	0.041885779	Low
GO:0008203~cholesterol metabolic process	GOTERM_BP_DIRECT	6	7.692307692	3.18E-05	"ENSMUSG00000028240, ENSMUSG00000026170, ENSMUSG00000005681, ENSMUSG00000027875, ENSMUSG00000032083, ENSMUSG00000032081"	75	89	18082	16.25348315	0.01964568	6.20E-04	0.055643567	Low
GO:0033700~phospholipid efflux	GOTERM_BP_DIRECT	4	5.128205128	3.55E-05	"ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000032083, ENSMUSG00000032081"	75	16	18082	60.27333333	0.021885941	6.71E-04	0.060178783	Low
GO:0010867~positive regulation of triglyceride biosynthetic process	GOTERM_BP_DIRECT	4	5.128205128	4.29E-05	"ENSMUSG00000002108, ENSMUSG00000024981, ENSMUSG00000032081, ENSMUSG00000020333"	75	17	18082	56.72784314	0.026436307	7.88E-04	0.070716509	Low
GO:0010903~negative regulation of very-low-density lipoprotein particle remodeling	GOTERM_BP_DIRECT	3	3.846153846	4.94E-05	"ENSMUSG00000005681, ENSMUSG00000032083, ENSMUSG00000032081"	75	3	18082	241.0933333	0.030378482	8.81E-04	0.079099252	Low
GO:0030301~cholesterol transport	GOTERM_BP_DIRECT	4	5.128205128	7.13E-05	"ENSMUSG00000005681, ENSMUSG00000002944, ENSMUSG00000032083, ENSMUSG00000028603"	75	20	18082	48.21866667	0.043545321	0.001236675	0.110983616	Low
GO:0010887~negative regulation of cholesterol storage	GOTERM_BP_DIRECT	3	3.846153846	9.86E-05	"ENSMUSG00000002108, ENSMUSG00000022383, ENSMUSG00000000440"	75	4	18082	180.82	0.059681565	0.001663072	0.149250056	Low
GO:0030300~regulation of intestinal cholesterol absorption	GOTERM_BP_DIRECT	3	3.846153846	1.64E-04	"ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000032083"	75	5	18082	144.656	0.097234437	0.002691684	0.241561394	Low
GO:0006006~glucose metabolic process	GOTERM_BP_DIRECT	5	6.41025641	1.73E-04	"ENSMUSG00000022878, ENSMUSG00000024900, ENSMUSG00000027533, ENSMUSG00000022383, ENSMUSG00000027513"	75	68	18082	17.72745098	0.102134196	0.002762189	0.247888732	Low
GO:0033344~cholesterol efflux	GOTERM_BP_DIRECT	4	5.128205128	2.00E-04	"ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000032083, ENSMUSG00000032081"	75	28	18082	34.44190476	0.117481369	0.003124072	0.280365402	Low
GO:0033211~adiponectin-activated signaling pathway	GOTERM_BP_DIRECT	3	3.846153846	2.45E-04	"ENSMUSG00000018796, ENSMUSG00000031808, ENSMUSG00000022878"	75	6	18082	120.5466667	0.141902706	0.003732171	0.334938453	Low
GO:0034372~very-low-density lipoprotein particle remodeling	GOTERM_BP_DIRECT	3	3.846153846	3.42E-04	"ENSMUSG00000032079, ENSMUSG00000015568, ENSMUSG00000032083"	75	7	18082	103.3257143	0.192405451	0.005087108	0.456535374	Low
GO:0050728~negative regulation of inflammatory response	GOTERM_BP_DIRECT	5	6.41025641	4.45E-04	"ENSMUSG00000002250, ENSMUSG00000022878, ENSMUSG00000002108, ENSMUSG00000022383, ENSMUSG00000032083"	75	87	18082	13.8559387	0.242513236	0.006444801	0.578379606	Low
GO:0034380~high-density lipoprotein particle assembly	GOTERM_BP_DIRECT	3	3.846153846	4.55E-04	"ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000032083"	75	8	18082	90.41	0.247374536	0.006444801	0.578379606	Low
GO:0032869~cellular response to insulin stimulus	GOTERM_BP_DIRECT	5	6.41025641	4.65E-04	"ENSMUSG00000022878, ENSMUSG00000024122, ENSMUSG00000000440, ENSMUSG00000027513, ENSMUSG00000025006"	75	88	18082	13.69848485	0.251798892	0.006444801	0.578379606	Low
GO:0048662~negative regulation of smooth muscle cell proliferation	GOTERM_BP_DIRECT	4	5.128205128	5.01E-04	"ENSMUSG00000002250, ENSMUSG00000022878, ENSMUSG00000030890, ENSMUSG00000000440"	75	38	18082	25.37824561	0.268426755	0.006793036	0.609631459	Low
GO:0009437~carnitine metabolic process	GOTERM_BP_DIRECT	3	3.846153846	5.84E-04	"ENSMUSG00000007783, ENSMUSG00000024900, ENSMUSG00000062908"	75	9	18082	80.36444444	0.305413865	0.007590265	0.681177586	Low
GO:0032000~positive regulation of fatty acid beta-oxidation	GOTERM_BP_DIRECT	3	3.846153846	5.84E-04	"ENSMUSG00000054422, ENSMUSG00000024900, ENSMUSG00000024981"	75	9	18082	80.36444444	0.305413865	0.007590265	0.681177586	Low
GO:0010745~negative regulation of macrophage derived foam cell differentiation	GOTERM_BP_DIRECT	3	3.846153846	7.28E-04	"ENSMUSG00000022878, ENSMUSG00000022383, ENSMUSG00000000440"	75	10	18082	72.328	0.365155165	0.009269577	0.831885118	Low
GO:0051006~positive regulation of lipoprotein lipase activity	GOTERM_BP_DIRECT	3	3.846153846	8.87E-04	"ENSMUSG00000032079, ENSMUSG00000002108, ENSMUSG00000032083"	75	11	18082	65.75272727	0.425307441	0.010647582	0.955552255	Low
GO:0019217~regulation of fatty acid metabolic process	GOTERM_BP_DIRECT	3	3.846153846	8.87E-04	"ENSMUSG00000031278, ENSMUSG00000022383, ENSMUSG00000025059"	75	11	18082	65.75272727	0.425307441	0.010647582	0.955552255	Low
GO:0006699~bile acid biosynthetic process	GOTERM_BP_DIRECT	3	3.846153846	8.87E-04	"ENSMUSG00000028240, ENSMUSG00000030382, ENSMUSG00000027359"	75	11	18082	65.75272727	0.425307441	0.010647582	0.955552255	Low
GO:0043691~reverse cholesterol transport	GOTERM_BP_DIRECT	3	3.846153846	0.001251696	"ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000032083"	75	13	18082	55.63692308	0.542302983	0.014736955	1.322547245	Low
GO:0045723~positive regulation of fatty acid biosynthetic process	GOTERM_BP_DIRECT	3	3.846153846	0.001456448	"ENSMUSG00000032079, ENSMUSG00000002108, ENSMUSG00000032083"	75	14	18082	51.66285714	0.597268865	0.016830067	1.510390644	Low
GO:0010875~positive regulation of cholesterol efflux	GOTERM_BP_DIRECT	3	3.846153846	0.001676071	"ENSMUSG00000022878, ENSMUSG00000002108, ENSMUSG00000017754"	75	15	18082	48.21866667	0.648921654	0.019015789	1.706545202	Low
GO:0042953~lipoprotein transport	GOTERM_BP_DIRECT	3	3.846153846	0.001910444	"ENSMUSG00000002944, ENSMUSG00000032081, ENSMUSG00000000440"	75	16	18082	45.205	0.696768018	0.020553741	1.844566475	Low
GO:0050872~white fat cell differentiation	GOTERM_BP_DIRECT	3	3.846153846	0.001910444	"ENSMUSG00000037071, ENSMUSG00000000440, ENSMUSG00000062515"	75	16	18082	45.205	0.696768018	0.020553741	1.844566475	Low
GO:0014912~negative regulation of smooth muscle cell migration	GOTERM_BP_DIRECT	3	3.846153846	0.001910444	"ENSMUSG00000002250, ENSMUSG00000022878, ENSMUSG00000030890"	75	16	18082	45.205	0.696768018	0.020553741	1.844566475	Low
GO:0042593~glucose homeostasis	GOTERM_BP_DIRECT	5	6.41025641	0.00216223	"ENSMUSG00000022878, ENSMUSG00000002944, ENSMUSG00000025059, ENSMUSG00000000440, ENSMUSG00000027513"	75	133	18082	9.063659148	0.740939188	0.022868333	2.05228633	Low
GO:0048384~retinoic acid receptor signaling pathway	GOTERM_BP_DIRECT	3	3.846153846	0.002422954	"ENSMUSG00000015846, ENSMUSG00000039656, ENSMUSG00000015843"	75	18	18082	40.18222222	0.779918672	0.024785631	2.224351515	Low
GO:0050892~intestinal absorption	GOTERM_BP_DIRECT	3	3.846153846	0.002422954	"ENSMUSG00000054422, ENSMUSG00000002944, ENSMUSG00000023057"	75	18	18082	40.18222222	0.779918672	0.024785631	2.224351515	Low
GO:0042493~response to drug	GOTERM_BP_DIRECT	7	8.974358974	0.002638789	"ENSMUSG00000018796, ENSMUSG00000005681, ENSMUSG00000024900, ENSMUSG00000015568, ENSMUSG00000032083, ENSMUSG00000028427, ENSMUSG00000000440"	75	339	18082	4.978328417	0.807715812	0.026333308	2.363245582	Low
GO:0070542~response to fatty acid	GOTERM_BP_DIRECT	3	3.846153846	0.002700852	"ENSMUSG00000037071, ENSMUSG00000002944, ENSMUSG00000025203"	75	19	18082	38.06736842	0.815039267	0.026333308	2.363245582	Low
GO:0001523~retinoid metabolic process	GOTERM_BP_DIRECT	3	3.846153846	0.002700852	"ENSMUSG00000005681, ENSMUSG00000032083, ENSMUSG00000032081"	75	19	18082	38.06736842	0.815039267	0.026333308	2.363245582	Low
GO:0008206~bile acid metabolic process	GOTERM_BP_DIRECT	3	3.846153846	0.002993019	"ENSMUSG00000030382, ENSMUSG00000020405, ENSMUSG00000036138"	75	20	18082	36.164	0.84594485	0.028732986	2.578601303	Low
GO:0031641~regulation of myelination	GOTERM_BP_DIRECT	3	3.846153846	0.003299338	"ENSMUSG00000015846, ENSMUSG00000039656, ENSMUSG00000015843"	75	21	18082	34.44190476	0.872824933	0.03119374	2.799438232	Low
GO:0051289~protein homotetramerization	GOTERM_BP_DIRECT	4	5.128205128	0.003463375	"ENSMUSG00000015846, ENSMUSG00000062908, ENSMUSG00000015843, ENSMUSG00000026003"	75	74	18082	13.03207207	0.885238292	0.032255915	2.894761612	Low
GO:0051384~response to glucocorticoid	GOTERM_BP_DIRECT	4	5.128205128	0.003597176	"ENSMUSG00000022878, ENSMUSG00000005681, ENSMUSG00000015846, ENSMUSG00000032281"	75	75	18082	12.85831111	0.894462083	0.033009384	2.962380596	Low
GO:0009749~response to glucose	GOTERM_BP_DIRECT	4	5.128205128	0.004017411	"ENSMUSG00000002250, ENSMUSG00000022878, ENSMUSG00000005681, ENSMUSG00000015568"	75	78	18082	12.36376068	0.918887123	0.036331369	3.260507483	Low
GO:0006695~cholesterol biosynthetic process	GOTERM_BP_DIRECT	3	3.846153846	0.007569708	"ENSMUSG00000032079, ENSMUSG00000027875, ENSMUSG00000032083"	75	32	18082	22.6025	0.991274159	0.067066965	6.018830202	Low
GO:0060621~negative regulation of cholesterol import	GOTERM_BP_DIRECT	2	2.564102564	0.008168412	"ENSMUSG00000005681, ENSMUSG00000032081"	75	2	18082	241.0933333	0.994012139	0.067066965	6.018830202	Low
GO:0070543~response to linoleic acid	GOTERM_BP_DIRECT	2	2.564102564	0.008168412	"ENSMUSG00000022878, ENSMUSG00000002944"	75	2	18082	241.0933333	0.994012139	0.067066965	6.018830202	Low
GO:0034370~triglyceride-rich lipoprotein particle remodeling	GOTERM_BP_DIRECT	2	2.564102564	0.008168412	"ENSMUSG00000032079, ENSMUSG00000005681"	75	2	18082	241.0933333	0.994012139	0.067066965	6.018830202	Low
GO:0010747~positive regulation of plasma membrane long-chain fatty acid transport	GOTERM_BP_DIRECT	2	2.564102564	0.008168412	"ENSMUSG00000024981, ENSMUSG00000020333"	75	2	18082	241.0933333	0.994012139	0.067066965	6.018830202	Low
GO:0001579~medium-chain fatty acid transport	GOTERM_BP_DIRECT	2	2.564102564	0.008168412	"ENSMUSG00000059316, ENSMUSG00000031808"	75	2	18082	241.0933333	0.994012139	0.067066965	6.018830202	Low
GO:0033540~fatty acid beta-oxidation using acyl-CoA oxidase	GOTERM_BP_DIRECT	2	2.564102564	0.008168412	"ENSMUSG00000020777, ENSMUSG00000029098"	75	2	18082	241.0933333	0.994012139	0.067066965	6.018830202	Low
GO:0007623~circadian rhythm	GOTERM_BP_DIRECT	4	5.128205128	0.009880552	"ENSMUSG00000022878, ENSMUSG00000024900, ENSMUSG00000022383, ENSMUSG00000008348"	75	108	18082	8.929382716	0.997962692	0.08007097	7.185856306	Low
GO:0071356~cellular response to tumor necrosis factor	GOTERM_BP_DIRECT	4	5.128205128	0.010384663	"ENSMUSG00000043089, ENSMUSG00000040618, ENSMUSG00000062515, ENSMUSG00000027513"	75	110	18082	8.767030303	0.99851733	0.083077303	7.455655381	Low
GO:0010871~negative regulation of receptor biosynthetic process	GOTERM_BP_DIRECT	2	2.564102564	0.0122279	"ENSMUSG00000022383, ENSMUSG00000000440"	75	3	18082	160.7288889	0.99953675	0.093051337	8.350761051	Low
"GO:0019254~carnitine metabolic process, CoA-linked"	GOTERM_BP_DIRECT	2	2.564102564	0.0122279	"ENSMUSG00000062908, ENSMUSG00000026003"	75	3	18082	160.7288889	0.99953675	0.093051337	8.350761051	Low
GO:0046167~glycerol-3-phosphate biosynthetic process	GOTERM_BP_DIRECT	2	2.564102564	0.0122279	"ENSMUSG00000050553, ENSMUSG00000025059"	75	3	18082	160.7288889	0.99953675	0.093051337	8.350761051	Low
GO:0018158~protein oxidation	GOTERM_BP_DIRECT	2	2.564102564	0.0122279	"ENSMUSG00000005681, ENSMUSG00000032083"	75	3	18082	160.7288889	0.99953675	0.093051337	8.350761051	Low
GO:0046320~regulation of fatty acid oxidation	GOTERM_BP_DIRECT	2	2.564102564	0.016270996	"ENSMUSG00000024900, ENSMUSG00000028773"	75	4	18082	120.5466667	0.999964166	0.118059322	10.59506734	Low
