#gene	EvC.norm.abs.stat
SNTB1	7.904400562
PCTP	7.900260709
MED13	7.890183993
ID1	7.889839294
EP300	7.887188362
PLS3	7.873138108
RBP4	7.870334035
ACOT2	7.867283932
FUOM	7.863934244
CISD3	7.854022602
MOB1B	7.831746524
ZHX3	7.827103561
SEL1L	7.823104648
TLR12P	7.81067675
NFAT5	7.796007163
C5	7.767313899
CCS	7.75767428
MIA2	7.725290336
CYP7A1	7.720916713
PSMB5	7.711009045
DHRS1	7.708194124
UTRN	7.678191849
FABP1	7.667980973
MAN2A1	7.654819873
SOD1	7.65285122
SNRNP200	7.632037048
NAV2	7.624587633
KIAA2026	7.623049188
AKAP13	7.612496055
TRRAP	7.60587996
CLTC	7.602392874
CNTNAP1	7.601931469
ACAA1	7.59998554
BLVRB	7.59707641
INO80D	7.596841817
HECTD1	7.585191703
SPP1	7.580291723
HOOK3	7.578304177
HERC2	7.555132035
GPR155	7.551577108
CNOT1	7.54852879
ACLY	7.541789891
TRIP12	7.533664706
CELSR1	7.532456366
AFF4	7.51445296
PALLD	7.504259859
EIF3K	7.480401332
PRRC2B	7.480299778
RANBP2	7.466455762
TNFAIP8L1	7.459732552
NFIX	7.448000921
RNF152	7.442757419
DSG2	7.424507714
IRGM	7.411936908
TRIM2	7.405111969
SLC25A33	7.404852219
SOS1	7.401832755
UROC1	7.396447899
CYP8B1	7.396113415
LIN7A	7.395605377
CLOCK	7.392448613
NCOA2	7.37922225
KLF9	7.369848292
DDX6	7.35192383
ATRX	7.349973283
MAPK8	7.33799289
APOA1	7.337810882
DSP	7.336843988
USP34	7.329940835
TIMM17B	7.326402828
ONECUT2	7.325720087
PPP1R3G	7.323380635
SLC10A5	7.321926676
MAN1A1	7.318921476
CPNE3	7.317353496
EIF4EBP3	7.315494757
MYCBP2	7.300535032
CHCHD10	7.292019196
XDH	7.29143567
ARID1A	7.291215253
PHYH	7.278347321
FABP5	7.265338423
INSR	7.265135592
AFF1	7.254664481
ARHGEF12	7.247349438
SH3PXD2A	7.24548831
RAD54L2	7.195556125
PHB	7.186211949
VPS13B	7.184975843
PLK3	7.180245603
PRLR	7.176845238
IQSEC1	7.159812588
TNRC18	7.152014129
EXPH5	7.147112777
SLC25A47	7.14596084
NDUFB7	7.143600776
TMEM245	7.14187648
DDI2	7.139912968
VAMP8	7.136054318
DOCK5	7.131510629
PSMD13	7.130961178
SLC16A2	7.127494506
LYST	7.114824058
DNAJC5	7.11158791
USP24	7.104901568
TULP4	7.082367342
APRT	7.070502177
ACOT8	7.070378687
HIPK3	7.068393863
RNF213	7.060677708
SLC6A6	7.058045116
RPL37	7.040409787
AGAP2	7.037038155
EDEM3	7.03381924
HSD17B6	7.015688279
DDT	7.012684556
ALS2	7.012112051
C12orf57	6.998570727
ACP3	6.980202792
CELF1	6.978187052
FTL	6.9757712
UBR4	6.968469232
PPL	6.96833375
ATF6	6.958739669
TMIE	6.954374288
TUBB4B	6.954133169
PYCR3	6.950203538
ADCY9	6.941605297
ANKRD52	6.929296248
ABCA3	6.925349761
CYP4A11	6.921832851
PSMB3	6.917255613
GFPT1	6.910795471
RREB1	6.908265879
PNPLA7	6.905185781
SLC13A3	6.904817142
ECH1	6.893052359
ARSG	6.891837086
AKAP9	6.887457303
ZNF445	6.885872879
FITM1	6.883551498
DAG1	6.87650988
BMPR2	6.874102514
GLG1	6.871426345
ERAP1	6.868074959
CD207	6.858512196
ITPR2	6.856098349
PPP1R3C	6.855855182
SON	6.854242981
ESR1	6.854228009
MTMR9	6.852114226
RPL14	6.84760992
CHD9	6.840909773
PDPR	6.825596768
GLUD1	6.817250758
HMGCL	6.810219114
RPL18A	6.806617575
TAOK1	6.804287188
TRIP11	6.798371163
PSMC4	6.796576821
EPAS1	6.790959875
ATP2A2	6.786231806
KALRN	6.782966929
EP400	6.781414951
PGM3	6.776394753
SAA4	6.773656415
MRPL12	6.773587695
ATP11C	6.771754064
ARHGAP5	6.766479088
RNF125	6.765895159
CGNL1	6.765367835
GOLIM4	6.764395657
NOX4	6.76319889
A1CF	6.762528597
SVIL	6.761516957
APOA5	6.75945561
TRIO	6.758113065
IL1R1	6.748694816
PRPF8	6.748649729
TXNIP	6.741814135
ACADM	6.738697538
MRPL15	6.73383997
ASAH2	6.726892289
OSBPL8	6.723515986
ERO1B	6.723493237
TRIM56	6.720997133
RRBP1	6.713845677
MDM4	6.713206851
PRKAA2	6.712002268
PSMB4	6.704695986
ARID5B	6.70103012
WDR7	6.700097964
AGMAT	6.69666246
GABPB2	6.696139595
MYLK	6.693266555
TBC1D8B	6.690970286
XPR1	6.681313622
MRPL17	6.678936194
PTPRJ	6.675413012
MAGT1	6.674372991
PSMB1	6.67434718
ZBTB38	6.66429873
EVI5	6.663467991
FCGRT	6.655630357
NIPBL	6.650503559
SNED1	6.647814887
IMPAD1	6.644335031
EIF4EBP2	6.643376486
ZFYVE26	6.642760333
WNK1	6.632177692
CREBBP	6.632052172
NKTR	6.623507528
SLC44A1	6.618087531
SLC22A1	6.616983101
IQGAP2	6.615572691
CTSS	6.607895468
MLYCD	6.598874725
DHX9	6.596676446
URM1	6.593823394
GPRIN3	6.580652668
PARP14	6.563581299
PRPF40A	6.559888567
CYBA	6.548628482
C6orf226	6.546355951
CTNND1	6.546336984
ATF7IP	6.546188897
AAK1	6.544717772
RPLP2	6.537079497
MGA	6.534544493
BPTF	6.534116462
ATP7B	6.531524509
P2RY4	6.52748731
MACF1	6.526327338
KLKB1	6.520399615
KIF1B	6.51868431
FAM13B	6.510902607
GALK1	6.506558043
ARL5B	6.506420177
UBR5	6.501029846
MAPK9	6.498269773
DENND4C	6.488004703
CEP350	6.487631518
GLDC	6.48457797
RPL36A	6.483224832
DDX3X	6.481661346
EFR3A	6.479295472
USP6NL	6.472596691
ENPEP	6.472407063
MPDU1	6.469057766
ZFHX2	6.465829091
MAGI3	6.464988761
APC	6.462305946
RPLP0	6.462148085
NR3C1	6.458406687
PRKAR2A	6.451006435
ATP5MC2	6.449427867
NSD1	6.445478778
ASCC3	6.440729195
FOXN3	6.43967998
PEX16	6.435365178
PSMB6	6.426336357
DECR1	6.423883361
ZNF292	6.421196418
SLC26A1	6.416814503
EDF1	6.405567258
ALDOA	6.398008584
MYH9	6.397541375
LARP4	6.397027416
AP1G1	6.395989265
HIPK1	6.386437609
PRDX5	6.382256961
HLA-DQB1	6.374506315
PTCH1	6.369074969
UBXN6	6.356978715
ATXN7	6.355756747
TREM2	6.354797207
NOS1AP	6.352307207
PSMC3	6.350584812
NLRP12	6.349460699
TBL1X	6.347743365
PHB2	6.346486287
DYNLT1	6.346060237
ERBB3	6.342656995
LNPEP	6.342465285
FRYL	6.335598376
C1QB	6.333174131
SRRM2	6.331134968
HINT1	6.326855101
MCC	6.32573013
ST3GAL3	6.317197554
NTRK2	6.316942357
RPL13	6.312083985
BRD4	6.30627448
FYCO1	6.306073675
SHANK2	6.302836472
SPAG9	6.29510822
C1GALT1	6.29286202
NDUFS8	6.287041
HMBS	6.285137525
PIGR	6.284630673
RPL18	6.284397126
CSRP2	6.281898223
LRP6	6.267020596
HSD17B11	6.266186321
ALDH3A2	6.263231871
ABCA8	6.261529584
TET3	6.261293209
EEF1G	6.260232091
PM20D1	6.256799835
SYNE2	6.255395657
FABP2	6.251569869
PEMT	6.248214666
AGL	6.243326593
MED12	6.243149813
SLC25A20	6.241392567
CCDC85B	6.234642066
CANX	6.232597468
VCL	6.231940187
DUSP16	6.224632123
PPCS	6.223985852
BNIP3	6.223507674
PTPRK	6.218071462
CDC34	6.216189033
PHC3	6.212467994
DPYD	6.211837414
GPIHBP1	6.210534044
STEAP2	6.200120939
IL6ST	6.197585581
WDR26	6.18932127
SEC63	6.185867958
EIF4EBP1	6.18568531
FBF1	6.183206091
TRIM44	6.182833582
ANKS4B	6.181954847
PKLR	6.180376837
DMXL1	6.179773435
TSC22D2	6.179183595
OST4	6.176983208
PJA2	6.173559194
RPS15	6.172332431
NDUFB10	6.171404662
C6orf89	6.169859642
RPSA	6.169273486
NEDD4	6.166958023
KDM1B	6.166294664
UBN2	6.16535937
RPS29	6.165198683
PLCXD2	6.165150236
EEA1	6.159863232
HLF	6.158397734
IGF2R	6.15695512
CTSD	6.152690945
NDUFS7	6.150261389
HCFC1	6.146731491
ECI2	6.145758209
PHF3	6.139512575
CYP2C8	6.136964997
RPS2	6.126008278
SPEN	6.124549005
KLF3	6.119398374
LASP1	6.115856016
SOX6	6.115515983
ACADL	6.115514755
HERC6	6.115291942
PRDM2	6.114310085
PCNX1	6.106962745
UHRF1BP1	6.106117737
C8A	6.105732654
NHP2	6.099355012
EDEM1	6.096334278
YPEL3	6.095756627
ETNK2	6.089831291
RORA	6.087058147
REST	6.086341361
VCPIP1	6.084565356
HERC1	6.080555933
ATG2B	6.079284292
FTH1	6.076668536
C1QA	6.074583971
WDR73	6.069682235
FIS1	6.069538751
TNKS	6.065387074
PCBD1	6.062000546
ETNK1	6.054261294
DVL3	6.052740242
TIMM8A	6.048101025
SRCAP	6.04791248
TJP1	6.044893678
ACAT1	6.043943011
BCHE	6.042003653
WWC1	6.041044819
EIF5A	6.035847945
UBR1	6.03084913
DHRS4	6.030402714
PTPRD	6.029359139
CRIP1	6.024387241
TMSB10	6.02420558
AP2S1	6.023794873
TXN2	6.021542683
APOA2	6.020404697
UTP20	6.018737191
ZYG11B	6.017916777
ARRDC3	6.016301303
RBM33	6.01528748
ABCA2	6.013203101
STARD13	6.012114826
LRIG1	6.011753715
LRRC58	6.009563387
AKAP11	6.00595109
MOB1A	5.999326857
NR5A2	5.997987803
PLIN2	5.996431811
MCM10	5.995307091
ARHGAP32	5.994451232
UBA52	5.993973096
UAP1L1	5.991354669
CLEC4G	5.990298431
TIMM13	5.98573129
GPAM	5.981431287
CREB3L2	5.978419942
ISOC2	5.971519626
AKR1D1	5.971399315
CDC42BPA	5.971240795
COX6A1	5.970771949
ATAD2B	5.968068607
HAMP	5.966968944
ACADS	5.966147485
TMED4	5.961654396
CMBL	5.958909961
MICAL2	5.957178186
ANKHD1	5.955360777
BCL6	5.951259179
ROBO1	5.951088838
USP32	5.949100572
TMEM205	5.948655993
ZKSCAN1	5.945438003
NR3C2	5.926919534
CIDEC	5.914694595
CIB3	5.904435017
NT5E	5.90429594
APOC2	5.901278423
RAB30	5.89716737
ENPP3	5.896042025
APOC4	5.894315228
EEF1D	5.892867898
CYC1	5.892138231
SRA1	5.891923832
ASXL2	5.885632708
NF1	5.885293263
RC3H1	5.885139619
FAM32A	5.88244477
WWP1	5.88105114
BIK	5.879115903
VNN1	5.877930713
PSMA7	5.877654723
UGGT1	5.869438538
HEXA	5.868695445
SLC35A3	5.864177813
SLC27A1	5.863026057
REXO2	5.857496187
RPL11	5.853967652
BFAR	5.85370185
NR2C2	5.852770967
TOB2	5.852094004
TWSG1	5.842586192
UBR3	5.841539309
GOLGB1	5.838229586
FAM131C	5.836431455
IFNGR2	5.830645454
SLC25A23	5.826468052
PTPN3	5.82522485
SERINC5	5.824374939
CPEB2	5.820552857
ALDH1L1	5.818954142
FNDC3B	5.815250167
CXADR	5.815010872
OAF	5.811687532
ZMIZ1	5.807162196
ZAP70	5.80701157
PCSK4	5.805685893
SEC24A	5.804469578
SBNO1	5.803296678
HCFC1R1	5.800713291
DOCK8	5.800195282
MASP1	5.798339241
KPNB1	5.798030966
HIPK2	5.794885662
PRPF4B	5.787040338
MRPL45	5.785358963
DENND4A	5.780098388
NCAPH2	5.77987817
NT5DC2	5.777641696
LARP1	5.771557374
ELF1	5.769219632
RPS26	5.768062171
FAM149A	5.765463496
DDX58	5.764968751
MAN1A2	5.764254368
DHRS7B	5.761368788
HLA-A	5.748601383
SCAF11	5.747678046
GSTK1	5.742846035
HECA	5.741960864
HSPB1	5.738056444
FADS6	5.736635453
PDS5A	5.736492775
CD300A	5.732504535
ZFC3H1	5.732192469
CNOT6L	5.729610155
KLHDC7A	5.729372874
HIVEP1	5.728304404
IDO2	5.723187277
POLR2A	5.723007803
OTUD4	5.722849751
MMP7	5.72216359
PARVA	5.722158077
CYP1A2	5.718743844
SDHB	5.718499904
JMY	5.711024547
MAP3K13	5.7107757
ATP6V1F	5.710497735
SP1	5.710466185
AURKAIP1	5.707713671
TYROBP	5.704753277
SLC35D1	5.702704166
APOM	5.700886559
REV3L	5.700829409
GDA	5.698234932
UBR2	5.69793899
C19orf53	5.697906928
GPC4	5.691878811
MGAT5	5.689994984
STAT5B	5.688096013
DNAJC13	5.687077115
PSMA1	5.678636381
PDE3B	5.670796566
MFGE8	5.663681727
ATL3	5.662043174
SLC38A2	5.658508345
PNPLA2	5.657224443
CAST	5.653463876
PCGF3	5.650189689
PLXNB1	5.649832508
FRS2	5.644362164
RPL28	5.642121892
IFIH1	5.641869221
IL6R	5.641555688
ITPR1	5.636979315
SDHD	5.6331853
DNAJC3	5.629146769
MMP19	5.619980934
CLIC1	5.618241778
CBR1	5.617397088
RNF169	5.613037141
SOX5	5.609626287
PLSCR1	5.605981153
UBXN1	5.601471807
PSMD8	5.598652932
SETX	5.596897849
HTT	5.596545576
SEC14L4	5.590405002
BET1L	5.587406289
LUZP1	5.586617876
GLRX5	5.578999703
MRPL54	5.578166907
ESRRA	5.573390186
POLR2E	5.573287933
MRPL43	5.571358592
FKBP8	5.571066762
PHF20L1	5.569568572
SERINC2	5.567955337
TBC1D9B	5.563812036
DYNC1H1	5.559139671
PCDHGB8P	5.55906687
NDUFS5	5.558388745
CISD1	5.555817589
ODC1	5.555560494
SLC35B2	5.547648418
HAL	5.546621739
SUDS3	5.543180863
SIK2	5.54302799
SPC25	5.541303126
RPL37A	5.536021665
MYOT	5.533532189
EIF3A	5.526514094
MYL3	5.523058319
ULK2	5.517371122
GRPEL1	5.516522474
DMGDH	5.516285611
MON2	5.515856603
VKORC1	5.514054934
ZCCHC2	5.512714627
SAMD9L	5.512632619
SCYL2	5.512092087
MRPS18A	5.510847438
MYL2	5.508697078
GAS2	5.508189841
SNRPC	5.50493287
CDC42EP5	5.502458724
GSK3B	5.500486222
DENND5B	5.498063753
NCOA1	5.497912774
LPGAT1	5.492030883
ERMP1	5.492023453
WDR92	5.489546766
NDUFA5	5.487869537
FAM168A	5.480389838
STON2	5.477919191
HERC4	5.477721981
ZBTB33	5.477448927
TUSC2	5.477273101
KIAA0100	5.47719244
NFIC	5.475378159
NDUFB11	5.473975098
CAPRIN1	5.463769072
YOD1	5.463212365
SLC30A7	5.462894609
APOE	5.462871024
AGXT	5.461815379
DYRK2	5.4611589
ATXN1L	5.460070159
SFT2D1	5.458277664
ALCAM	5.457201847
RPS4X	5.455033049
ST3GAL1	5.455028557
SLC2A2	5.449124626
CST3	5.44726312
DIP2C	5.446207098
APLP2	5.442944622
TOMM22	5.442396181
TRPM7	5.441121516
NACC2	5.439163823
ID2	5.437589618
HLA-DQA1	5.436842048
COG5	5.433715163
GNMT	5.43147819
MYO1E	5.431263116
PPFIBP1	5.429880956
PSME4	5.4281902
CAPG	5.423120494
GANAB	5.422966558
LLPH	5.419490757
DOHH	5.41935353
TACC1	5.418907759
DOCK7	5.417649738
TRDN	5.415872407
AHSA1	5.413797426
COBLL1	5.412195248
ATP5PO	5.410599521
SH3BP5	5.402374105
BST2	5.397391506
ATP5F1D	5.392179066
RPS23	5.392106255
COL18A1	5.392020183
ZZEF1	5.391768935
NDUFA2	5.391678992
ATP5PD	5.387611277
NUFIP2	5.386836596
PPP1R12A	5.381692267
MAP1LC3B	5.38023858
MTUS1	5.380105113
C2CD2	5.378893272
ZSWIM7	5.377380104
HIVEP2	5.375960611
AUH	5.375779652
CDK12	5.374376233
TSC22D3	5.374057586
CRAT	5.373535946
MRPL52	5.373522781
ECE1	5.372701199
IPO7	5.372167313
NDUFAB1	5.36882658
SH3D19	5.368341006
SOCS2	5.36638519
LMTK2	5.366242037
SLC39A14	5.363976799
ACSS3	5.36375863
CLPP	5.359838247
MPC1	5.358634646
TBCK	5.356735946
HAGH	5.349734777
COPE	5.348957368
POU2F1	5.347603508
DDAH1	5.346206701
TMEM37	5.342184774
ANAPC13	5.341033739
BCORL1	5.340424889
SLC22A25	5.340185238
GPCPD1	5.339033444
RMND5A	5.337174572
TNS1	5.332015341
GAPVD1	5.33063771
ITGAV	5.330192694
BCL9L	5.329662729
DPP8	5.32408216
EPRS1	5.323235253
UBE3A	5.322622646
SHPRH	5.320296317
PSMB7	5.319220061
NCOR1	5.317204279
FGA	5.316700746
NDUFS3	5.316196523
POMP	5.315547032
POLR2C	5.315438983
FOXK1	5.314431472
NCOR2	5.31276791
SBF2	5.312502615
PLEKHO1	5.309946912
ZNF771	5.308178736
CMAHP	5.307211396
S1PR1	5.306915354
COMMD5	5.306357208
RIF1	5.30618489
KANSL1	5.304261707
YIF1A	5.302789941
NDUFB5	5.299850861
LGMN	5.299398158
HADH	5.299316143
AP1S1	5.298225196
LAMTOR2	5.297481164
BOLA1	5.296152704
ROGDI	5.295714079
UBE2S	5.292393911
PBRM1	5.291947909
POLD4	5.290295714
UBB	5.290013895
RPL29	5.289506386
S100A13	5.287692486
COQ10B	5.287673625
UQCR11	5.287026212
SLC12A7	5.28502386
TPP2	5.283598084
SFPQ	5.283582239
RPL23A	5.283223596
ATP5F1C	5.28260722
CA3	5.282443041
XIAP	5.281840492
SALL1	5.27844628
GADD45GIP1	5.272745377
BBX	5.272361555
RPL8	5.270843057
CERT1	5.267955606
HLA-DRB5	5.267554443
PFKFB2	5.266864506
PTEN	5.266478891
CDC14B	5.265472468
YLPM1	5.263168648
DCUN1D4	5.262435212
ANKIB1	5.261173645
UQCRB	5.257499479
NUDT8	5.2572662
ZNF236	5.250168271
SECISBP2L	5.248912241
ARFGEF1	5.247762685
MDH2	5.247199269
CREB3L3	5.244960871
TRIM14	5.243039891
CDH2	5.240269845
SPATA13	5.23732377
XRN1	5.237164416
NECAB1	5.235771263
SMARCC2	5.233324513
CAMK1	5.232218367
TTC36	5.231780412
BAHCC1	5.230054374
NDUFC1	5.227998569
LYSMD3	5.227611556
BOD1L1	5.22133645
GBP7	5.220817409
CHCHD2	5.219611109
TLN1	5.218498903
RBP1	5.21633432
SLC22A23	5.213938571
ATM	5.203762534
PDLIM5	5.198215986
CIDEB	5.194713906
LAT2	5.194613741
C9	5.19385354
CLPX	5.19158695
RPL27A	5.190977478
MED29	5.189381483
ATF4	5.189123594
NDUFA13	5.188343253
CORO1B	5.188202348
CFLAR	5.186229049
EIF2AK2	5.183103549
UBE4A	5.18223997
NFATC3	5.18180558
STRN	5.181488194
NCOA6	5.179642257
PGGT1B	5.179115696
GUK1	5.176174874
ASPH	5.175922742
AHCTF1	5.175705404
GPX4	5.175651932
C1orf226	5.173999621
C18orf32	5.171668334
RPL19	5.171643274
MED13L	5.170486171
IMP3	5.168581194
EFNA1	5.166472279
ENHO	5.164828686
SEC23B	5.163223283
C9orf16	5.145971308
USP47	5.143326316
DDX46	5.1415619
KIAA0355	5.139331147
PPP4C	5.139156142
FKBP2	5.139015512
MET	5.138948603
MLXIPL	5.138338662
RETSAT	5.135811285
SLCO2A1	5.135781126
KLHDC3	5.135773822
PPP2R5E	5.135269373
DICER1	5.130040434
PKN2	5.127620638
B3GALT1	5.124717609
ABCA5	5.121077872
HSP90B1	5.119619
RAPH1	5.118737824
ALKBH6	5.115596652
AVPI1	5.1134979
MYO6	5.112372446
KANK2	5.111544684
SCAND1	5.108034652
ABAT	5.106387648
SLC25A11	5.105663554
KLHL24	5.104931723
ATG4D	5.104166493
UCP2	5.099183531
SLC17A4	5.096467485
FCGR2A	5.096424906
MME	5.096405604
CYP2F2P	5.093946311
EXOC4	5.093332958
RSBN1	5.09273652
COX7A2L	5.091081062
PHLDB2	5.090238574
CLTB	5.089263884
SDC2	5.089154148
ZNF148	5.086273383
PRDX1	5.085900807
NLRC5	5.08539101
EIF2AK3	5.083650195
EEF1A1	5.082708217
TSC1	5.081002162
MPST	5.079543771
AR	5.078111433
TPR	5.077147291
BANF1	5.075828889
CCT7	5.07426919
ALDH6A1	5.07359708
HSPA13	5.071074057
MTIF3	5.070847093
CPT1B	5.067742654
NCKAP1	5.067466048
MTX1	5.06619198
DSC2	5.065460823
AQR	5.062419338
STT3A	5.061341924
BRI3	5.061249059
PSENEN	5.058532352
ZNF652	5.058039335
EIF1	5.055831455
NSFL1C	5.055757856
GATAD2B	5.055209842
LGR4	5.053102483
COMT	5.052601299
SLC4A7	5.052490007
FGB	5.050781529
CUEDC2	5.05053873
NANP	5.043721754
RFC2	5.041271163
PRDX6	5.041103813
COX17	5.037600421
IDS	5.037378038
TSPO	5.036027601
DYNLRB1	5.034293204
PREPL	5.032295315
LRBA	5.030445414
QSER1	5.029645491
ARHGAP29	5.028111538
MRTO4	5.027450284
ALAD	5.02665909
UQCRC1	5.024347629
FMO5	5.023674056
CHD4	5.023066855
BTAF1	5.02281632
PEX19	5.022354717
MAP1LC3A	5.021809599
FAM167B	5.019775308
COTL1	5.01760311
PGAP1	5.016141356
DEDD2	5.015889055
GBF1	5.013257369
ATOX1	5.01235167
RHOC	5.011925782
MEA1	5.011659
ZC3HAV1	5.00836919
MPC2	5.007295431
CDK4	5.005367312
CAMSAP2	5.002600148
RPS17	5.001273679
SETD2	5.001085915
NME1	5.000970677
PIK3AP1	5.000471427
FCER1G	4.999669957
MRPS21	4.997055487
MRPL11	4.996430963
POP5	4.996138076
COX7C	4.989296973
ADAP2	4.988465291
RABGAP1L	4.986693804
CA14	4.986454166
MCTP2	4.978524168
SLC36A1	4.977022294
MICAL3	4.976679071
POLDIP2	4.974211199
ZCCHC14	4.970682723
VPS37A	4.970625914
GABARAP	4.968999629
UBE2L6	4.967818908
ITIH3	4.967607782
ZMYM2	4.966294017
WDR45	4.965354321
ARHGAP42	4.965097283
XPO7	4.965057317
SPC24	4.963075631
RPL7A	4.962083158
ATF7	4.961644737
MTMR4	4.961573468
PAK2	4.961312448
PPP4R4	4.959495677
RNF144B	4.958345821
LECT2	4.958133891
KIF5B	4.956395609
TNRC6A	4.952883605
SERHL2	4.951428208
KIAA1671	4.950354485
CKAP5	4.948564642
GOLGA4	4.946829098
UPF2	4.945153249
BTBD7	4.940331795
SAMD8	4.939089881
ANKRD11	4.936717893
NBR1	4.936625215
BRWD3	4.936587683
ADAM10	4.935840116
PSME1	4.935402922
ZFAND2B	4.934110184
ATP11B	4.933806787
HLA-E	4.931237183
DNASE2	4.929428122
AHDC1	4.928865393
MRPL28	4.928338225
SASH1	4.927759564
SLC10A2	4.925244472
KDM2A	4.923286741
RFX7	4.922140217
ASGR1	4.916899478
HNRNPUL2	4.915468947
DDX60	4.913922631
COX5B	4.90806164
CECR2	4.905954385
RBM26	4.904205846
RPL21	4.903548582
UROD	4.900108559
TMEM53	4.898626849
ARHGEF26	4.898299349
OAT	4.897591877
DAAM1	4.897177782
RGS3	4.896144624
ZNF704	4.895933027
DCTN2	4.894075391
TTLL4	4.893392283
NPC2	4.89293409
PGLS	4.892384527
CYTH2	4.890415383
PDS5B	4.887343874
PHIP	4.887081737
CBL	4.886915948
LTN1	4.884350561
MARF1	4.882840607
TMEM131	4.880724842
ANXA2	4.880470648
CTSC	4.880394619
SLC33A1	4.879581035
IFFO2	4.879518216
HPRT1	4.879371941
MRPL20	4.879136646
KPNA1	4.878438563
SEC16A	4.877570824
NDUFA11	4.876470409
MRPS34	4.875542089
ZCRB1	4.875129927
GBP6	4.873448562
DNAJC19	4.871966946
ANTXR2	4.871521365
PPIP5K2	4.869573187
FBXL15	4.869501499
PFKFB1	4.861575266
POLR1D	4.855041954
SERPINB6	4.853579051
RALGAPB	4.852072714
RPL15	4.848028256
C1QC	4.845099121
DHDH	4.845065489
COPZ2	4.844403761
EIF3I	4.844026215
HINT2	4.842688074
PNPLA6	4.842090731
ABCE1	4.841765923
RPS5	4.841591934
ANAPC1	4.840265804
STAT3	4.838200801
ADAM8	4.837309754
TTR	4.827895332
PRKDC	4.821061566
CLDN3	4.820734093
AMACR	4.81857794
ZNF318	4.817560718
CAND1	4.816613134
CMTM4	4.815110848
EXOSC5	4.8114288
PSMD7	4.811062796
HNRNPUL1	4.810694778
VWA5A	4.81022212
ASAP3	4.809752888
ARF4	4.809587944
STOML2	4.808873773
BRAF	4.807444464
KIAA0232	4.805255073
PXMP2	4.805086035
PPDPF	4.800687959
MFHAS1	4.798004033
PKIG	4.79620239
PLG	4.789465424
SLC16A11	4.788743713
RASA1	4.787998178
BACH2	4.787545338
TTC1	4.78690121
ZC3H11A	4.785843561
ARSB	4.783482068
MRPS12	4.782519644
VAV2	4.781300805
ZFAND6	4.781219051
MEF2A	4.779332684
RAPGEF6	4.779219221
CREB3	4.777542238
DMD	4.776910439
GIGYF2	4.774495182
AUP1	4.77404606
