"","term_name","source","p_value"
"77","DNA biosynthetic process","GO:BP",5.25015395708166e-13
"78","regulation of cell cycle G2/M phase transition","GO:BP",6.59524966341287e-13
"79","macromolecule biosynthetic process","GO:BP",9.33302779578773e-13
"80","cellular macromolecule biosynthetic process","GO:BP",1.14586343723435e-12
"81","mitotic spindle organization","GO:BP",1.40604836612445e-12
"82","mitotic DNA damage checkpoint","GO:BP",1.92910032911836e-12
"83","mismatch repair","GO:BP",2.09314624834616e-12
"84","sister chromatid cohesion","GO:BP",2.57365824363904e-12
"85","primary metabolic process","GO:BP",5.01320813303985e-12
"86","positive regulation of cell cycle process","GO:BP",6.39240884199626e-12
"87","negative regulation of chromosome organization","GO:BP",6.76166836256025e-12
"88","cellular metabolic process","GO:BP",7.60209374608003e-12
"89","DNA duplex unwinding","GO:BP",8.54098676871888e-12
"90","chromosome separation","GO:BP",9.65334201813486e-12
"91","meiotic nuclear division","GO:BP",1.68367682886e-11
"92","regulation of G2/M transition of mitotic cell cycle","GO:BP",1.68397308309109e-11
"93","anatomical structure homeostasis","GO:BP",2.0854404511669e-11
"94","protein-DNA complex subunit organization","GO:BP",5.45889372853063e-11
"95","organic substance biosynthetic process","GO:BP",7.15976589976458e-11
"96","organic substance metabolic process","GO:BP",7.52535128783758e-11
"97","meiosis I cell cycle process","GO:BP",7.65376783020392e-11
"98","regulation of DNA metabolic process","GO:BP",8.48550462625364e-11
"99","nucleic acid phosphodiester bond hydrolysis","GO:BP",1.30946912460675e-10
"100","nucleobase-containing compound biosynthetic process","GO:BP",1.33128367622172e-10
"101","regulation of mitotic sister chromatid separation","GO:BP",1.60948003484809e-10
"102","cellular biosynthetic process","GO:BP",1.64960446551972e-10
"103","biosynthetic process","GO:BP",2.16956726376613e-10
"104","regulation of signal transduction by p53 class mediator","GO:BP",2.8358402351757e-10
"105","mitotic sister chromatid separation","GO:BP",3.16796929526138e-10
"106","heterocycle biosynthetic process","GO:BP",3.61018563966825e-10
"107","microtubule-based process","GO:BP",4.1771754753394e-10
"108","aromatic compound biosynthetic process","GO:BP",4.18986580630437e-10
"109","organic cyclic compound biosynthetic process","GO:BP",4.74452850694711e-10
"110","regulation of chromosome separation","GO:BP",4.87447533454493e-10
"111","response to stress","GO:BP",5.09810050738266e-10
"112","DNA damage response, detection of DNA damage","GO:BP",5.78634056623224e-10
"113","meiosis I","GO:BP",6.06783213724511e-10
"114","regulation of mitotic nuclear division","GO:BP",6.54682314616327e-10
"115","postreplication repair","GO:BP",6.62392048605576e-10
"116","regulation of nuclear division","GO:BP",6.86213621054399e-10
"117","regulation of sister chromatid segregation","GO:BP",6.88472354473752e-10
"118","negative regulation of G1/S transition of mitotic cell cycle","GO:BP",1.02204842027117e-09
"119","regulation of mitotic sister chromatid segregation","GO:BP",1.62786828576235e-09
"120","negative regulation of cell cycle G1/S phase transition","GO:BP",2.15703099881162e-09
"121","signal transduction involved in DNA integrity checkpoint","GO:BP",2.37081989005802e-09
"122","signal transduction involved in DNA damage checkpoint","GO:BP",2.37081989005802e-09
"123","nucleotide-excision repair","GO:BP",2.44916571642239e-09
"124","metaphase/anaphase transition of mitotic cell cycle","GO:BP",2.70159223731139e-09
"125","signal transduction involved in cell cycle checkpoint","GO:BP",2.84848581573079e-09
"126","signal transduction in response to DNA damage","GO:BP",3.47296602897196e-09
"127","metaphase/anaphase transition of cell cycle","GO:BP",4.15833683520453e-09
"128","spindle assembly","GO:BP",4.17726699166878e-09
"129","DNA packaging","GO:BP",4.55745823438194e-09
"130","mitotic DNA replication","GO:BP",4.59047642232676e-09
"131","cellular component biogenesis","GO:BP",6.79259795837078e-09
"132","chromatin organization","GO:BP",1.04076592107497e-08
"133","nucleotide-excision repair, DNA incision, 5'-to lesion","GO:BP",1.15777744454596e-08
"134","negative regulation of organelle organization","GO:BP",1.38334004934791e-08
"135","protein-DNA complex assembly","GO:BP",1.40140283505191e-08
"136","nucleotide-excision repair, DNA incision","GO:BP",2.0729879032763e-08
"137","DNA synthesis involved in DNA repair","GO:BP",2.30022327204876e-08
"138","double-strand break repair via break-induced replication","GO:BP",2.72754246096295e-08
"139","cell cycle arrest","GO:BP",2.81844372311429e-08
"140","regulation of DNA-dependent DNA replication","GO:BP",2.86102692468853e-08
"141","regulation of mitotic metaphase/anaphase transition","GO:BP",4.36577175734549e-08
"142","metabolic process","GO:BP",4.47257596293877e-08
"143","translesion synthesis","GO:BP",4.66205378425656e-08
"144","regulation of DNA replication","GO:BP",5.34553670084872e-08
"145","regulation of metaphase/anaphase transition of cell cycle","GO:BP",6.54880551511032e-08
"146","negative regulation of sister chromatid segregation","GO:BP",7.71234506179419e-08
"147","pre-replicative complex assembly","GO:BP",9.25800724382355e-08
"148","pre-replicative complex assembly involved in cell cycle DNA replication","GO:BP",9.25800724382355e-08
"149","pre-replicative complex assembly involved in nuclear cell cycle DNA replication","GO:BP",9.25800724382355e-08
"150","negative regulation of chromosome segregation","GO:BP",9.82135889627037e-08
"151","error-free translesion synthesis","GO:BP",1.07758882839558e-07
"152","negative regulation of nuclear division","GO:BP",1.16834039612179e-07
"153","regulation of cyclin-dependent protein serine/threonine kinase activity","GO:BP",1.3231662455501e-07
"154","mitotic G1 DNA damage checkpoint","GO:BP",1.6880406882205e-07
"155","response to UV","GO:BP",1.89807819263192e-07
"156","positive regulation of DNA metabolic process","GO:BP",1.99362941202346e-07
"157","G1 DNA damage checkpoint","GO:BP",2.01889880092972e-07
"158","mitotic G1/S transition checkpoint","GO:BP",2.01889880092972e-07
"159","regulation of cyclin-dependent protein kinase activity","GO:BP",2.20289882696238e-07
"160","negative regulation of cellular macromolecule biosynthetic process","GO:BP",2.35299342802163e-07
"161","mitotic spindle assembly","GO:BP",2.40692065204498e-07
"162","negative regulation of macromolecule biosynthetic process","GO:BP",2.80938655315764e-07
"163","cellular nitrogen compound biosynthetic process","GO:BP",2.8168213528856e-07
"164","regulation of G1/S transition of mitotic cell cycle","GO:BP",2.94623454356266e-07
"165","negative regulation of nucleobase-containing compound metabolic process","GO:BP",3.66394114439387e-07
"166","DNA damage response, signal transduction by p53 class mediator","GO:BP",4.03865831433443e-07
"167","negative regulation of mitotic nuclear division","GO:BP",4.55460955979839e-07
"168","negative regulation of mitotic sister chromatid separation","GO:BP",6.49625487595131e-07
"169","regulation of organelle organization","GO:BP",6.7657119213255e-07
"170","response to radiation","GO:BP",7.08038790638325e-07
"171","cellular component assembly","GO:BP",7.31464117120024e-07
"172","transcription-coupled nucleotide-excision repair","GO:BP",7.59865479885587e-07
"173","negative regulation of chromosome separation","GO:BP",8.30278464470041e-07
"174","chromatin assembly","GO:BP",8.37340215747308e-07
"175","cellular response to radiation","GO:BP",9.04272378888424e-07
"176","negative regulation of cellular biosynthetic process","GO:BP",1.09249651645385e-06
"177","signal transduction involved in mitotic G1 DNA damage checkpoint","GO:BP",1.18513415594027e-06
"178","intracellular signal transduction involved in G1 DNA damage checkpoint","GO:BP",1.18513415594027e-06
"179","negative regulation of mitotic sister chromatid segregation","GO:BP",1.32836824274854e-06
"180","reproductive process","GO:BP",1.36916074517538e-06
"181","reproduction","GO:BP",1.45803195848253e-06
"182","regulation of cell cycle G1/S phase transition","GO:BP",1.6457753517136e-06
"183","base-excision repair","GO:BP",1.66406806502747e-06
"184","DNA-dependent DNA replication maintenance of fidelity","GO:BP",1.66406806502747e-06
"185","signal transduction involved in mitotic DNA damage checkpoint","GO:BP",1.6915912632002e-06
"186","signal transduction involved in mitotic DNA integrity checkpoint","GO:BP",1.6915912632002e-06
"187","signal transduction involved in mitotic cell cycle checkpoint","GO:BP",1.6915912632002e-06
"188","negative regulation of biosynthetic process","GO:BP",2.01175302647244e-06
"189","regulation of nucleobase-containing compound metabolic process","GO:BP",2.86158108363436e-06
"190","error-prone translesion synthesis","GO:BP",3.68089426511927e-06
"191","chromatin assembly or disassembly","GO:BP",5.37807498775307e-06
"192","negative regulation of cell cycle G2/M phase transition","GO:BP",5.80992446816657e-06
"193","protein localization to chromosome","GO:BP",6.09644448398002e-06
"194","G2 DNA damage checkpoint","GO:BP",7.01363637706357e-06
"195","nuclear transport","GO:BP",7.50543451095356e-06
"196","negative regulation of mitotic metaphase/anaphase transition","GO:BP",1.12896481701526e-05
"197","meiotic chromosome segregation","GO:BP",1.25280467018989e-05
"198","negative regulation of metaphase/anaphase transition of cell cycle","GO:BP",1.41656888203871e-05
"199","negative regulation of RNA metabolic process","GO:BP",1.66745534939341e-05
"200","negative regulation of macromolecule metabolic process","GO:BP",1.67937836566854e-05
"201","double-strand break repair via nonhomologous end joining","GO:BP",1.76084646839046e-05
"202","response to ionizing radiation","GO:BP",1.87440690156848e-05
"203","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","GO:BP",1.97528571200892e-05
"204","regulation of gene expression, epigenetic","GO:BP",2.32465328909052e-05
"205","DNA unwinding involved in DNA replication","GO:BP",2.459520296634e-05
"206","telomeric 3' overhang formation","GO:BP",2.88858587516736e-05
"207","chromatin organization involved in regulation of transcription","GO:BP",3.04222160392655e-05
"208","response to abiotic stimulus","GO:BP",3.28504809820203e-05
"209","non-recombinational repair","GO:BP",4.12430612699514e-05
"210","positive regulation of cell cycle arrest","GO:BP",4.62201798633151e-05
"211","regulation of cell cycle arrest","GO:BP",5.56675942928383e-05
"212","pyrimidine nucleotide metabolic process","GO:BP",7.00805298026622e-05
"213","negative regulation of nucleic acid-templated transcription","GO:BP",7.01643463916933e-05
"214","negative regulation of RNA biosynthetic process","GO:BP",7.30352492607878e-05
"215","G0 to G1 transition","GO:BP",8.36620315135748e-05
"216","RNA metabolic process","GO:BP",8.93712168830661e-05
"217","regulation of cytokinesis","GO:BP",9.20819678496755e-05
"218","cellular response to UV","GO:BP",9.20819678496755e-05
"219","regulation of cell division","GO:BP",9.31787410525801e-05
"220","negative regulation of transcription, DNA-templated","GO:BP",9.46577950084049e-05
"221","female meiotic nuclear division","GO:BP",9.61301712208739e-05
"222","mitotic G2/M transition checkpoint","GO:BP",9.61301712208739e-05
"223","cellular protein-containing complex assembly","GO:BP",9.70707802892887e-05
"224","chromatin organization involved in negative regulation of transcription","GO:BP",0.000108555808957405
"225","cell population proliferation","GO:BP",0.000114514755703356
"226","negative regulation of gene expression","GO:BP",0.00012924750574544
"227","chromosome organization involved in meiotic cell cycle","GO:BP",0.000148414379254955
"228","cytokinesis","GO:BP",0.000151001987758417
"229","mitotic spindle assembly checkpoint","GO:BP",0.00018674458136898
"230","spindle assembly checkpoint","GO:BP",0.00018674458136898
"231","mitotic spindle checkpoint","GO:BP",0.00018674458136898
"232","spindle checkpoint","GO:BP",0.00018674458136898
"233","negative regulation of cellular process","GO:BP",0.000194733576877233
"234","cell aging","GO:BP",0.000200547960788962
"235","regulation of transferase activity","GO:BP",0.000204919061084686
"236","nucleocytoplasmic transport","GO:BP",0.000204973614885841
"237","mitotic recombination","GO:BP",0.000216840790484357
"238","regulation of nitrogen compound metabolic process","GO:BP",0.000227447239220746
"239","negative regulation of G2/M transition of mitotic cell cycle","GO:BP",0.00023541632158801
"240","negative regulation of cellular metabolic process","GO:BP",0.000264936546208871
"241","reciprocal meiotic recombination","GO:BP",0.000300367465331732
"242","negative regulation of gene expression, epigenetic","GO:BP",0.000304181315388364
"243","negative regulation of metabolic process","GO:BP",0.000331802909982633
"244","chromatin silencing","GO:BP",0.000344448566347832
"245","homologous recombination","GO:BP",0.000347136566700338
"246","response to gamma radiation","GO:BP",0.000400018568581885
"247","regulation of cellular metabolic process","GO:BP",0.000405559581971843
"248","protein-containing complex subunit organization","GO:BP",0.00040791726898473
"249","cytoskeleton organization","GO:BP",0.000427640258069399
"250","chromosome localization","GO:BP",0.000481220854816002
"251","establishment of chromosome localization","GO:BP",0.000481220854816002
"252","regulation of DNA recombination","GO:BP",0.000500261204592959
"253","replicative senescence","GO:BP",0.000577281363569374
"254","pyrimidine-containing compound biosynthetic process","GO:BP",0.000590306424983995
"255","negative regulation of G0 to G1 transition","GO:BP",0.000590306424983995
"256","regulation of primary metabolic process","GO:BP",0.000605842126155128
"257","positive regulation of mitotic cell cycle","GO:BP",0.000610582087205559
"258","negative regulation of nitrogen compound metabolic process","GO:BP",0.000659365014082653
"259","protein-containing complex assembly","GO:BP",0.000677897244614188
"260","anaphase-promoting complex-dependent catabolic process","GO:BP",0.00073542924515697
"261","negative regulation of biological process","GO:BP",0.00077415812698881
"262","viral process","GO:BP",0.00077775315979563
"263","metaphase plate congression","GO:BP",0.000780781983577228
"264","pyrimidine-containing compound metabolic process","GO:BP",0.000814739887382156
"265","regulation of G0 to G1 transition","GO:BP",0.00114784927104195
"266","intra-S DNA damage checkpoint","GO:BP",0.00123706020187535
"267","regulation of macromolecule metabolic process","GO:BP",0.00134613480580377
"268","negative regulation of cellular component organization","GO:BP",0.00171066389048308
"269","DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator","GO:BP",0.00173680938792919
"270","cellular response to ionizing radiation","GO:BP",0.00180751441742271
"271","positive regulation of chromosome organization","GO:BP",0.00185389454007331
"272","nucleosome organization","GO:BP",0.00185389454007331
"273","protein export from nucleus","GO:BP",0.0019642667196519
"274","nucleoside monophosphate metabolic process","GO:BP",0.00225692419347341
"275","cellular response to environmental stimulus","GO:BP",0.00230960689607474
"276","cellular response to abiotic stimulus","GO:BP",0.00230960689607474
"277","DNA damage response, signal transduction resulting in transcription","GO:BP",0.00238328408073634
"278","negative regulation of cyclin-dependent protein serine/threonine kinase activity","GO:BP",0.00240212449391151
"279","symbiotic process","GO:BP",0.00272612623466976
"280","centrosome cycle","GO:BP",0.0027337256694059
"281","negative regulation of cyclin-dependent protein kinase activity","GO:BP",0.00290906856445564
"282","regulation of microtubule cytoskeleton organization","GO:BP",0.00307880040072608
"283","somatic diversification of immune receptors","GO:BP",0.00310803518188597
"284","regulation of response to DNA damage stimulus","GO:BP",0.0031473588989491
"285","regulation of macromolecule biosynthetic process","GO:BP",0.00340388378792259
"286","regulation of cellular component organization","GO:BP",0.00348098703739905
"287","positive regulation of DNA-directed DNA polymerase activity","GO:BP",0.003484818504211
"288","regulation of DNA-directed DNA polymerase activity","GO:BP",0.003484818504211
"289","replication fork protection","GO:BP",0.003484818504211
"290","protein K6-linked ubiquitination","GO:BP",0.003484818504211
"291","deoxyribonucleoside monophosphate biosynthetic process","GO:BP",0.003484818504211
"292","negative regulation of DNA replication","GO:BP",0.00350012645847384
"293","deoxyribonucleotide metabolic process","GO:BP",0.00350012645847384
"294","negative regulation of DNA-dependent DNA replication","GO:BP",0.00423576333887365
"295","cellular response to light stimulus","GO:BP",0.0044785302934189
"296","regulation of DNA repair","GO:BP",0.0044785302934189
"297","interstrand cross-link repair","GO:BP",0.00467571433399275
"298","telomere capping","GO:BP",0.00467571433399275
"299","RNA biosynthetic process","GO:BP",0.00531228864009964
"300","blastocyst growth","GO:BP",0.00550970155851582
"301","nuclear export","GO:BP",0.005511106018774
"302","microtubule organizing center organization","GO:BP",0.00625570633881941
"303","phosphorylation","GO:BP",0.00644248732817742
"304","protein localization to nucleus","GO:BP",0.00661660749879019
"305","regulation of centrosome cycle","GO:BP",0.00757281307496581
"306","regulation of DNA biosynthetic process","GO:BP",0.00781154823769561
"307","import into nucleus","GO:BP",0.00802169602582138
"308","response to light stimulus","GO:BP",0.00828062781380596
"309","regulation of cellular macromolecule biosynthetic process","GO:BP",0.0088392292993796
"310","homologous chromosome segregation","GO:BP",0.009505489792381
"311","nucleic acid-templated transcription","GO:BP",0.00959458484889657
"312","mitotic G2 DNA damage checkpoint","GO:BP",0.011202403661403
"313","somatic diversification of immunoglobulins","GO:BP",0.011832151429514
"314","chromatin remodeling","GO:BP",0.0126116630204613
"315","deoxyribonucleoside monophosphate metabolic process","GO:BP",0.0133384082505112
"316","spindle midzone assembly","GO:BP",0.0133384082505112
"317","DNA double-strand break processing","GO:BP",0.0138778365903321
"318","regulation of RNA metabolic process","GO:BP",0.0145776689066747
"319","nucleoside monophosphate biosynthetic process","GO:BP",0.0146075728718068
"320","regulation of cellular biosynthetic process","GO:BP",0.0148302831368998
"321","RNA processing","GO:BP",0.0158269987185812
"322","somatic cell DNA recombination","GO:BP",0.0161961293129823
"323","somatic diversification of immune receptors via germline recombination within a single locus","GO:BP",0.0161961293129823
"324","regulation of biosynthetic process","GO:BP",0.0163023491737611
"325","protein import into nucleus","GO:BP",0.016665098670502
"326","regulation of ubiquitin protein ligase activity","GO:BP",0.0170285328832001
"327","telomere maintenance via recombination","GO:BP",0.0191001609284881
"328","somatic hypermutation of immunoglobulin genes","GO:BP",0.0191001609284881
"329","positive regulation of G2/M transition of mitotic cell cycle","GO:BP",0.0207119313754474
"330","nucleobase-containing small molecule interconversion","GO:BP",0.0207119313754474
"331","positive regulation of transferase activity","GO:BP",0.0207257739676794
"332","positive regulation of DNA biosynthetic process","GO:BP",0.0218192936412363
"333","mitotic metaphase plate congression","GO:BP",0.0248011352406498
"334","regulation of chromatin organization","GO:BP",0.0260028161940078
"335","cell cycle DNA replication initiation","GO:BP",0.0261170505665658
"336","mitotic DNA replication initiation","GO:BP",0.0261170505665658
"337","nuclear cell cycle DNA replication initiation","GO:BP",0.0261170505665658
"338","organelle assembly","GO:BP",0.0262709486500328
"339","somatic diversification of immune receptors via somatic mutation","GO:BP",0.0265093127544556
"340","inner cell mass cell proliferation","GO:BP",0.0265093127544556
"341","cellular response to heat","GO:BP",0.028424715554126
"342","positive regulation of nucleobase-containing compound metabolic process","GO:BP",0.0290903819875428
"343","ribonucleoprotein complex export from nucleus","GO:BP",0.030233783499253
"344","DNA alkylation","GO:BP",0.0317473348100816
"345","DNA methylation","GO:BP",0.0317473348100816
"346","ribonucleoprotein complex localization","GO:BP",0.0321400470585993
"347","2'-deoxyribonucleotide metabolic process","GO:BP",0.0355902390358895
"348","positive regulation of cell cycle G2/M phase transition","GO:BP",0.0355902390358895
"349","cellular response to gamma radiation","GO:BP",0.0355902390358895
"350","deoxyribonucleotide biosynthetic process","GO:BP",0.035837002887088
"351","nucleus organization","GO:BP",0.0384850229716345
"352","regulation of microtubule-based process","GO:BP",0.0403865740342763
"353","pyrimidine nucleotide biosynthetic process","GO:BP",0.0420557175892515
"354","aging","GO:BP",0.0433132512137183
"355","regulation of metabolic process","GO:BP",0.0433396931684178
"356","response to heat","GO:BP",0.0437739388028451
"357","cellular process","GO:BP",0.0450777409882576
"358","animal organ regeneration","GO:BP",0.0451454705984668
"359","intrinsic apoptotic signaling pathway in response to DNA damage","GO:BP",0.0460187354427652
"360","cellular senescence","GO:BP",0.0491373557258231
"361","deoxyribose phosphate metabolic process","GO:BP",0.0493989755698701
"362","response to X-ray","GO:BP",0.0493989755698701
"363","chromosome","GO:CC",1.16850656889907e-55
"364","nucleoplasm","GO:CC",3.2622957268661e-51
"365","nuclear lumen","GO:CC",1.01138340219747e-49
"366","chromosomal region","GO:CC",2.58314243705597e-47
"367","nucleus","GO:CC",1.37952350326675e-46
"368","intracellular organelle lumen","GO:CC",9.99913681825439e-42
"369","organelle lumen","GO:CC",9.99913681825439e-42
"370","membrane-enclosed lumen","GO:CC",9.99913681825439e-42
"371","intracellular non-membrane-bounded organelle","GO:CC",2.06229072500652e-41
"372","non-membrane-bounded organelle","GO:CC",2.3472683532714e-41
"373","nuclear chromosome","GO:CC",6.0326837229116e-32
"374","condensed chromosome","GO:CC",6.42765553954231e-30
"375","replication fork","GO:CC",1.32699280508857e-29
"376","chromosome, centromeric region","GO:CC",2.80092716773673e-27
"377","protein-containing complex","GO:CC",6.4476212616857e-27
"378","intracellular membrane-bounded organelle","GO:CC",2.29417809214207e-23
"379","chromosome, telomeric region","GO:CC",7.04270205360335e-21
"380","intracellular","GO:CC",4.6586260818285e-20
"381","intracellular organelle","GO:CC",4.32885651811615e-18
"382","nuclear chromosome, telomeric region","GO:CC",3.89683523860606e-17
"383","condensed nuclear chromosome","GO:CC",6.05565610666366e-16
"384","nuclear replication fork","GO:CC",6.06454771607817e-16
"385","membrane-bounded organelle","GO:CC",1.06669213701958e-15
"386","organelle","GO:CC",6.82243006620886e-14
"387","microtubule cytoskeleton","GO:CC",8.29094675862696e-14
"388","replisome","GO:CC",1.14710130128264e-13
"389","spindle","GO:CC",1.51468218188128e-13
"390","kinetochore","GO:CC",2.79110598573908e-12
"391","condensed chromosome, centromeric region","GO:CC",4.61868399233554e-12
"392","chromatin","GO:CC",5.3546445008879e-12
"393","nuclear replisome","GO:CC",2.26332433303042e-10
"394","mitotic spindle","GO:CC",4.20994846365172e-10
"395","spindle pole","GO:CC",8.8022530339818e-10
"396","condensed chromosome kinetochore","GO:CC",2.97558619141712e-09
"397","MCM complex","GO:CC",3.75878169201607e-09
"398","microtubule organizing center","GO:CC",3.84416959351297e-09
"399","DNA polymerase complex","GO:CC",9.14553132874770e-09
"400","centrosome","GO:CC",1.08912560238803e-08
"401","cytosol","GO:CC",1.1635176042018e-08
"402","nucleolus","GO:CC",1.92543508484288e-08
"403","site of DNA damage","GO:CC",2.24776342581361e-08
"404","transferase complex","GO:CC",2.86466009447503e-08
"405","protein-DNA complex","GO:CC",2.99141576274875e-08
"406","catalytic complex","GO:CC",5.55080064983863e-08
"407","transferase complex, transferring phosphorus-containing groups","GO:CC",2.0387740359973e-07
"408","site of double-strand break","GO:CC",2.91981208459473e-07
"409","nuclear periphery","GO:CC",4.14771739512194e-07
"410","mitotic spindle pole","GO:CC",5.59875331792107e-07
"411","spindle microtubule","GO:CC",6.52598729538486e-07
"412","nuclear body","GO:CC",1.94156403124191e-06
"413","cyclin-dependent protein kinase holoenzyme complex","GO:CC",5.34257976784941e-06
"414","cytoskeleton","GO:CC",7.15336901385077e-06
"415","spindle midzone","GO:CC",3.19692173118244e-05
"416","heterochromatin","GO:CC",5.57599549766077e-05
"417","chromosome passenger complex","GO:CC",6.72105424891735e-05
"418","supramolecular complex","GO:CC",0.000161601786349138
"419","nuclear envelope","GO:CC",0.000274674465568723
"420","DNA repair complex","GO:CC",0.000725290264538127
"421","cohesin complex","GO:CC",0.000910224472036979
"422","ribonucleoprotein complex","GO:CC",0.00146309356943614
"423","serine/threonine protein kinase complex","GO:CC",0.0015787571942647
"424","midbody","GO:CC",0.00160217268205248
"425","delta DNA polymerase complex","GO:CC",0.0017395387617825
"426","DNA replication factor C complex","GO:CC",0.00431496136523033
"427","alpha DNA polymerase:primase complex","GO:CC",0.00431496136523033
"428","PML body","GO:CC",0.00474934627425958
"429","protein kinase complex","GO:CC",0.00510324006319959
"430","microtubule","GO:CC",0.00625883485390223
"431","nuclear matrix","GO:CC",0.00674918921932214
"432","nuclear pore","GO:CC",0.0122199958908106
"433","meiotic cohesin complex","GO:CC",0.0148681004079344
"434","germ cell nucleus","GO:CC",0.0155933795957518
"435","nuclear chromatin","GO:CC",0.0211803671544757
"436","replication fork protection complex","GO:CC",0.0236038698871176
"437","Ctf18 RFC-like complex","GO:CC",0.0236038698871176
"438","mismatch repair complex","GO:CC",0.0236038698871176
