"","term_name","source","p_value"
"104","locomotion","GO:BP",0.00363252461979116
"105","neuron differentiation","GO:BP",0.00377988433722161
"106","monocarboxylic acid transport","GO:BP",0.00384361071536725
"107","regulation of developmental process","GO:BP",0.0039698064696326
"108","negative regulation of biosynthetic process","GO:BP",0.00416166530642495
"109","regulation of cellular component movement","GO:BP",0.00416975863901192
"110","organic substance catabolic process","GO:BP",0.00421012261117715
"111","embryo development","GO:BP",0.00426527329405844
"112","regulation of transcription by RNA polymerase II","GO:BP",0.00463791944903148
"113","MAPK cascade","GO:BP",0.00491917204823085
"114","regulation of cell differentiation","GO:BP",0.00500083858616542
"115","gland development","GO:BP",0.00528695514963292
"116","macromolecule localization","GO:BP",0.00570795246705035
"117","regulation of macromolecule metabolic process","GO:BP",0.00686789665061588
"118","negative regulation of macromolecule metabolic process","GO:BP",0.00700661303283252
"119","signal transduction by protein phosphorylation","GO:BP",0.00728213169286042
"120","positive regulation of developmental process","GO:BP",0.00827828555802292
"121","epithelial cell development","GO:BP",0.00883586679984602
"122","negative regulation of transcription by RNA polymerase II","GO:BP",0.00970311784329036
"123","transcription by RNA polymerase II","GO:BP",0.0104068671659328
"124","carboxylic acid metabolic process","GO:BP",0.0106683344105582
"125","positive regulation of nucleic acid-templated transcription","GO:BP",0.0107760486792115
"126","epithelium development","GO:BP",0.0108227879966348
"127","response to lipid","GO:BP",0.0108383435524625
"128","positive regulation of RNA biosynthetic process","GO:BP",0.0110639171249255
"129","homeostatic process","GO:BP",0.011235723600656
"130","glycogen biosynthetic process","GO:BP",0.011411096784853
"131","glucan biosynthetic process","GO:BP",0.011411096784853
"132","regulation of protein metabolic process","GO:BP",0.0119393910112129
"133","oxoacid metabolic process","GO:BP",0.011999320361605
"134","regulation of cell development","GO:BP",0.0130194042655486
"135","response to stimulus","GO:BP",0.0134380186324224
"136","organelle organization","GO:BP",0.0154944406201459
"137","regulation of small GTPase mediated signal transduction","GO:BP",0.0160351011202542
"138","positive regulation of molecular function","GO:BP",0.0175601642024077
"139","regulation of multicellular organismal development","GO:BP",0.0179193903655583
"140","organic substance transport","GO:BP",0.0190172585678042
"141","rhythmic process","GO:BP",0.0194159388857797
"142","positive regulation of transcription, DNA-templated","GO:BP",0.0195021361116881
"143","regulation of transport","GO:BP",0.0195239181437783
"144","positive regulation of nucleobase-containing compound metabolic process","GO:BP",0.0196904225106706
"145","enzyme linked receptor protein signaling pathway","GO:BP",0.020373884000427
"146","cell motility","GO:BP",0.0205731844745483
"147","localization of cell","GO:BP",0.0205731844745483
"148","negative regulation of macromolecule biosynthetic process","GO:BP",0.0214030646230846
"149","movement of cell or subcellular component","GO:BP",0.0230067307467653
"150","mammary gland alveolus development","GO:BP",0.0236823453515639
"151","mammary gland lobule development","GO:BP",0.0236823453515639
"152","regulation of glycogen biosynthetic process","GO:BP",0.0264229935785556
"153","regulation of glucan biosynthetic process","GO:BP",0.0264229935785556
"154","regulation of cellular biosynthetic process","GO:BP",0.0282788439697811
"155","organic acid metabolic process","GO:BP",0.0300425308646407
"156","negative regulation of cellular biosynthetic process","GO:BP",0.033887194970743
"157","cellular lipid catabolic process","GO:BP",0.0342190884663653
"158","regulation of cell migration","GO:BP",0.0361655596331108
"159","regulation of phosphate metabolic process","GO:BP",0.0369833046984508
"160","regulation of phosphorus metabolic process","GO:BP",0.0378578888773277
"161","regulation of MAPK cascade","GO:BP",0.0379460401887976
"162","cellular component assembly involved in morphogenesis","GO:BP",0.0387724908953874
"163","positive regulation of protein modification process","GO:BP",0.0409510526080668
"164","positive regulation of cell development","GO:BP",0.0421245045687997
"165","negative regulation of cellular macromolecule biosynthetic process","GO:BP",0.042582874580444
"166","transmembrane receptor protein tyrosine kinase signaling pathway","GO:BP",0.0430617820502015
"167","small GTPase mediated signal transduction","GO:BP",0.0480145461689071
"168","intracellular","GO:CC",5.22138135277523e-19
"169","cytoplasm","GO:CC",3.64409854198939e-17
"170","organelle","GO:CC",2.44510597798312e-16
"171","intracellular organelle","GO:CC",1.19701237372779e-15
"172","membrane-bounded organelle","GO:CC",7.3430519201531e-13
"173","intracellular membrane-bounded organelle","GO:CC",4.79146569255319e-11
"174","cell junction","GO:CC",2.35084807620532e-07
"175","membrane-enclosed lumen","GO:CC",4.1579672333653e-07
"176","organelle lumen","GO:CC",4.1579672333653e-07
"177","intracellular organelle lumen","GO:CC",6.59137557699626e-07
"178","nucleus","GO:CC",6.95825305671779e-07
"179","nuclear lumen","GO:CC",1.71968982010637e-05
"180","myofibril","GO:CC",1.79339280239347e-05
"181","nucleoplasm","GO:CC",3.1556037455273e-05
"182","apical part of cell","GO:CC",3.73861496781661e-05
"183","contractile fiber","GO:CC",4.87448355422196e-05
"184","plasma membrane region","GO:CC",6.704522413086e-05
"185","cytosol","GO:CC",9.39305294686116e-05
"186","sarcomere","GO:CC",0.000108045371146256
"187","Z disc","GO:CC",0.000181080195874941
"188","I band","GO:CC",0.000211229423987846
"189","anchoring junction","GO:CC",0.000239601225238655
"190","asymmetric synapse","GO:CC",0.000280671745758234
"191","postsynaptic density","GO:CC",0.00052163247798389
"192","neuron to neuron synapse","GO:CC",0.000867951166355082
"193","synapse","GO:CC",0.000962273439246597
"194","postsynaptic specialization","GO:CC",0.00135964274854582
"195","postsynapse","GO:CC",0.00136329298748734
"196","cell-cell junction","GO:CC",0.00244247220544244
"197","Golgi apparatus","GO:CC",0.00300620776452449
"198","non-membrane-bounded organelle","GO:CC",0.00311676623856437
"199","endomembrane system","GO:CC",0.00323433626149924
"200","intracellular non-membrane-bounded organelle","GO:CC",0.00360377513436669
"201","axon","GO:CC",0.00397548519052494
"202","protein-containing complex","GO:CC",0.00398083134342041
"203","cell projection","GO:CC",0.00541585717602651
"204","plasma membrane bounded cell projection","GO:CC",0.00781342921969828
"205","actin cytoskeleton","GO:CC",0.00813988677618946
"206","apical plasma membrane","GO:CC",0.00816247155966195
"207","high-density lipoprotein particle","GO:CC",0.0124355501396846
"208","actomyosin","GO:CC",0.0187081071830722
"209","actin filament bundle","GO:CC",0.0187081071830722
"210","basolateral plasma membrane","GO:CC",0.0209377913057746
"211","actin-based cell projection","GO:CC",0.0287896349286723
"212","cellular anatomical entity","GO:CC",0.0347007448934176
"213","vesicle","GO:CC",0.0423274395221976
"214","binding","GO:MF",8.59516690808232e-24
"215","protein binding","GO:MF",1.34912116527452e-18
"216","ion binding","GO:MF",9.73231583669597e-16
"217","cation binding","GO:MF",2.5737874511627e-10
"218","catalytic activity","GO:MF",3.0929122680651e-08
"219","metal ion binding","GO:MF",3.36901749188997e-08
"220","enzyme binding","GO:MF",9.47454280292971e-08
"221","transition metal ion binding","GO:MF",1.52419306794411e-06
"222","anion binding","GO:MF",2.99677447060199e-06
"223","lipid transporter activity","GO:MF",3.02766414951299e-06
"224","small molecule binding","GO:MF",4.21848846982151e-05
"225","ATP binding","GO:MF",0.00017158753157737
"226","adenyl ribonucleotide binding","GO:MF",0.00041348456381742
"227","zinc ion binding","GO:MF",0.000462113883904744
"228","adenyl nucleotide binding","GO:MF",0.00056844855999146
"229","molecular function regulator","GO:MF",0.000725422171711799
"230","nucleotide binding","GO:MF",0.00189320216786514
"231","nucleoside phosphate binding","GO:MF",0.00189320216786514
"232","carbohydrate derivative binding","GO:MF",0.00214949445305787
"233","ribonucleotide binding","GO:MF",0.00244060402056078
"234","purine ribonucleoside triphosphate binding","GO:MF",0.00289658263945984
"235","purine ribonucleotide binding","GO:MF",0.00430579273116502
"236","purine nucleotide binding","GO:MF",0.00570173938189103
"237","protein-containing complex binding","GO:MF",0.00709823513277175
"238","organic cyclic compound binding","GO:MF",0.00951664934175977
"239","heterocyclic compound binding","GO:MF",0.0156450405837668
"240","arachidonic acid epoxygenase activity","GO:MF",0.0180431114836939
"241","lipid binding","GO:MF",0.0195564564035981
"242","arachidonic acid monooxygenase activity","GO:MF",0.0216419869505489
"243","kinase binding","GO:MF",0.030335090632706
"244","Insulin signaling pathway","KEGG",2.47435807481006e-05
"245","PPAR signaling pathway","KEGG",0.00152296518190694
"246","Insulin resistance","KEGG",0.00260030204817917
"247","ABC transporters","KEGG",0.00938488940686687
"248","PPAR signaling pathway","WP",0.00445488212865649
"249","Dysregulated miRNA Targeting in Insulin/PI3K-AKT Signaling","WP",0.0377305427835607
