"","term_name","source","p_value"
"119","deoxyribose phosphate biosynthetic process","GO:BP",0.00342758379148926
"120","2'-deoxyribonucleotide biosynthetic process","GO:BP",0.00342758379148926
"121","positive regulation of cell motility","GO:BP",0.0034756802944106
"122","proteolysis","GO:BP",0.00352396622895039
"123","response to organic cyclic compound","GO:BP",0.00363301647141065
"124","negative regulation of developmental process","GO:BP",0.00396978658675262
"125","spindle organization","GO:BP",0.00426155987893211
"126","regulation of angiogenesis","GO:BP",0.00457091385927498
"127","reproductive process","GO:BP",0.00471370896087835
"128","negative regulation of metabolic process","GO:BP",0.00474052417474938
"129","reproduction","GO:BP",0.00505427955490625
"130","sister chromatid segregation","GO:BP",0.00532795324543521
"131","regulation of cell differentiation","GO:BP",0.00537973827503566
"132","ameboidal-type cell migration","GO:BP",0.00539740610716944
"133","pyrimidine deoxyribonucleotide biosynthetic process","GO:BP",0.0059004220502521
"134","protein phosphorylation","GO:BP",0.00632221519877066
"135","regulation of primary metabolic process","GO:BP",0.00668848714180314
"136","mesenchymal cell differentiation","GO:BP",0.00683358787794652
"137","regulation of cellular component organization","GO:BP",0.00875963491622903
"138","defense response","GO:BP",0.00912170665908954
"139","regulation of response to external stimulus","GO:BP",0.0101522698810009
"140","negative regulation of locomotion","GO:BP",0.0115191678025429
"141","mitotic cell cycle process","GO:BP",0.0116100188364732
"142","chemical synaptic transmission","GO:BP",0.011940863753995
"143","anterograde trans-synaptic signaling","GO:BP",0.011940863753995
"144","negative regulation of cellular component movement","GO:BP",0.013449830712381
"145","apoptotic process","GO:BP",0.0136868939757887
"146","deoxyribonucleotide biosynthetic process","GO:BP",0.0141190987116754
"147","nuclear division","GO:BP",0.0146658192164041
"148","trans-synaptic signaling","GO:BP",0.0151470289529806
"149","epithelial cell differentiation","GO:BP",0.0151470289529806
"150","negative regulation of macromolecule metabolic process","GO:BP",0.0168998428655066
"151","urogenital system development","GO:BP",0.0170112927461004
"152","regulation of phosphorus metabolic process","GO:BP",0.018384731887441
"153","positive regulation of vasculature development","GO:BP",0.0195629261216849
"154","epithelium development","GO:BP",0.0198242026571216
"155","negative regulation of nitrogen compound metabolic process","GO:BP",0.022972256087196
"156","regulation of protein metabolic process","GO:BP",0.0237421725927339
"157","negative regulation of cellular metabolic process","GO:BP",0.0249173294447554
"158","mitotic cell cycle","GO:BP",0.0252450076968543
"159","response to endogenous stimulus","GO:BP",0.025655802001949
"160","synaptic signaling","GO:BP",0.0264787740184417
"161","deoxyribonucleoside monophosphate biosynthetic process","GO:BP",0.0266536676842605
"162","cellular response to lipid","GO:BP",0.0270816161390436
"163","regulation of phosphorylation","GO:BP",0.0277706298793328
"164","cytokine production","GO:BP",0.0317913500202057
"165","negative regulation of signal transduction","GO:BP",0.0321072772474473
"166","cellular macromolecule metabolic process","GO:BP",0.0340698179482433
"167","regulation of cellular protein metabolic process","GO:BP",0.0345762226818044
"168","muscle organ development","GO:BP",0.0354086734805312
"169","regulation of phosphate metabolic process","GO:BP",0.0362283661176216
"170","mitotic nuclear division","GO:BP",0.036735661829801
"171","cell cycle","GO:BP",0.0381841515801812
"172","endothelial cell proliferation","GO:BP",0.0406292368516268
"173","cellular response to oxygen-containing compound","GO:BP",0.043265463059036
"174","positive regulation of metabolic process","GO:BP",0.0470122868939359
"175","response to cytokine","GO:BP",0.0475100200066414
"176","regulation of cell development","GO:BP",0.0491239254766809
"177","regulation of cellular metabolic process","GO:BP",0.0493160067618472
"178","positive regulation of cell differentiation","GO:BP",0.0493271104103035
"179","negative regulation of protein metabolic process","GO:BP",0.0494018948628229
"180","cellular anatomical entity","GO:CC",5.76368897142761e-38
"181","cellular_component","GO:CC",1.12967240730729e-37
"182","cytoplasm","GO:CC",5.47422563351599e-19
"183","intracellular","GO:CC",3.08390427848536e-18
"184","organelle","GO:CC",7.42745799149804e-15
"185","extracellular region","GO:CC",3.08777594586936e-14
"186","intracellular organelle","GO:CC",1.89225416805425e-13
"187","extracellular space","GO:CC",7.71313791655006e-10
"188","plasma membrane","GO:CC",1.30961036304005e-09
"189","membrane","GO:CC",1.73825945799088e-09
"190","membrane-bounded organelle","GO:CC",2.94545020794171e-09
"191","cell periphery","GO:CC",6.39613390977074e-09
"192","extracellular matrix","GO:CC",1.02953599815667e-07
"193","endomembrane system","GO:CC",2.03229856146254e-07
"194","intracellular membrane-bounded organelle","GO:CC",4.75485911277475e-07
"195","intracellular non-membrane-bounded organelle","GO:CC",3.25558783731547e-06
"196","non-membrane-bounded organelle","GO:CC",3.51399225427271e-06
"197","cell surface","GO:CC",6.82311192806891e-06
"198","intrinsic component of membrane","GO:CC",8.14461546185496e-06
"199","intrinsic component of plasma membrane","GO:CC",2.66384973484879e-05
"200","integral component of membrane","GO:CC",0.000104792862444144
"201","integral component of plasma membrane","GO:CC",0.000154972729652977
"202","cytosol","GO:CC",0.000286034630458251
"203","supramolecular complex","GO:CC",0.000420189109372371
"204","collagen-containing extracellular matrix","GO:CC",0.000439979143427661
"205","supramolecular fiber","GO:CC",0.000525604646007012
"206","condensed chromosome","GO:CC",0.000578894316073648
"207","cytoskeleton","GO:CC",0.000601874988025249
"208","supramolecular polymer","GO:CC",0.000645279643558758
"209","membrane-enclosed lumen","GO:CC",0.000732202876215491
"210","organelle lumen","GO:CC",0.000732202876215491
"211","intracellular organelle lumen","GO:CC",0.000732202876215491
"212","endoplasmic reticulum","GO:CC",0.000964635853817473
"213","condensed chromosome, centromeric region","GO:CC",0.00354406765176821
"214","polymeric cytoskeletal fiber","GO:CC",0.00634261631453114
"215","condensed chromosome kinetochore","GO:CC",0.00714703796984187
"216","cell junction","GO:CC",0.00936431030496821
"217","neuron projection terminus","GO:CC",0.0114705712192567
"218","vesicle","GO:CC",0.0139074159752176
"219","axon terminus","GO:CC",0.0145721068087363
"220","axon","GO:CC",0.0154445640012244
"221","kinetochore","GO:CC",0.0167340411485863
"222","condensed nuclear chromosome","GO:CC",0.0190728263412279
"223","microtubule","GO:CC",0.0239003499956537
"224","extracellular organelle","GO:CC",0.0274438628664104
"225","spindle pole","GO:CC",0.0345397415788646
"226","chromosome","GO:CC",0.0376680097179099
"227","endoplasmic reticulum lumen","GO:CC",0.0417865228262328
"228","condensed nuclear chromosome, centromeric region","GO:CC",0.0424589266703833
"229","extracellular vesicle","GO:CC",0.046745824680935
"230","molecular_function","GO:MF",1.14803780695326e-32
"231","binding","GO:MF",1.26138917866016e-25
"232","protein binding","GO:MF",7.42695448346469e-19
"233","extracellular matrix binding","GO:MF",0.000385304482067172
"234","signaling receptor binding","GO:MF",0.000733121275985769
"235","cell adhesion molecule binding","GO:MF",0.001110567073035
"236","metalloendopeptidase activity","GO:MF",0.00112343065034415
"237","integrin binding","GO:MF",0.00152450705946191
"238","receptor ligand activity","GO:MF",0.00214465376305751
"239","signaling receptor activator activity","GO:MF",0.00259459222435908
"240","anion binding","GO:MF",0.00419636836429695
"241","receptor regulator activity","GO:MF",0.00939700030962591
"242","metallopeptidase activity","GO:MF",0.0112508447094402
"243","ion binding","GO:MF",0.0162921418752352
"244","molecular function regulator","GO:MF",0.0189528769532187
"245","enzyme regulator activity","GO:MF",0.0275278536611862
"246","enzyme inhibitor activity","GO:MF",0.0305509362068792
"247","KEGG root term","KEGG",4.51845130038882e-05
"248","Cell cycle","KEGG",0.00074568493724308
"249","Osteoclast differentiation","KEGG",0.0414710750890641
"250","REACTOME root term","REAC",8.28514563365485e-14
"251","Cell Cycle","REAC",4.99612349873009e-08
"252","Cell Cycle, Mitotic","REAC",5.83271332884761e-08
"253","Mitotic Prometaphase","REAC",0.000139661152140354
"254","M Phase","REAC",0.000374751978990963
"255","Resolution of Sister Chromatid Cohesion","REAC",0.00140284800561648
"256","Extracellular matrix organization","REAC",0.0046610802690054
"257","Polo-like kinase mediated events","REAC",0.00563469125050682
"258","Interleukin-4 and Interleukin-13 signaling","REAC",0.0156099196268311
"259","Meiotic synapsis","REAC",0.0169540410024194
"260","EML4 and NUDC in mitotic spindle formation","REAC",0.0259373895961736
"261","Amplification of signal from the kinetochores","REAC",0.0290297131737544
"262","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","REAC",0.0290297131737544
"263","Cell Cycle Checkpoints","REAC",0.0355127341501515
"264","Cyclin A/B1/B2 associated events during G2/M transition","REAC",0.0479235931869414
"265","WIKIPATHWAYS","WP",9.27266377195117e-13
"266","Retinoblastoma Gene in Cancer","WP",0.00142742870650911
"267","VEGFA-VEGFR2 Signaling Pathway","WP",0.00170253697660807
"268","Cell Cycle","WP",0.00432702466887387
"269","Hematopoietic Stem Cell Differentiation","WP",0.00622579453062136
"270","IL-18 signaling pathway","WP",0.00739073925767207
"271","Prostaglandin Synthesis and Regulation","WP",0.0244561887322696
"272","Vitamin D Receptor Pathway","WP",0.0316004132656727
"273","Type II interferon signaling (IFNG)","WP",0.0329559027869491
