"","term_name","source","p_value"
"96","establishment of localization in cell","GO:BP",1.95263706741171e-10
"97","negative regulation of multicellular organismal process","GO:BP",2.28102846490965e-10
"98","chromosome segregation","GO:BP",2.62996097845155e-10
"99","protein localization to endoplasmic reticulum","GO:BP",2.74879577474684e-10
"100","regulation of phosphorus metabolic process","GO:BP",3.10335860752988e-10
"101","negative regulation of molecular function","GO:BP",3.57882003971812e-10
"102","nucleobase-containing compound metabolic process","GO:BP",3.5808399555758e-10
"103","regulation of cellular component movement","GO:BP",3.98569099659329e-10
"104","cellular response to organic substance","GO:BP",4.11295670268016e-10
"105","cellular aromatic compound metabolic process","GO:BP",4.17861081636307e-10
"106","SRP-dependent cotranslational protein targeting to membrane","GO:BP",5.07396141682634e-10
"107","regulation of cell cycle","GO:BP",5.50076150782353e-10
"108","regulation of cell migration","GO:BP",5.88056601200349e-10
"109","locomotion","GO:BP",6.23493671273256e-10
"110","regulation of phosphate metabolic process","GO:BP",6.23493671273256e-10
"111","regulation of phosphorylation","GO:BP",6.46060464928669e-10
"112","nervous system development","GO:BP",7.85323471718999e-10
"113","regulation of gene expression","GO:BP",8.21353923884994e-10
"114","tube development","GO:BP",8.65615195446619e-10
"115","spindle organization","GO:BP",9.76795436711266e-10
"116","regulation of cell motility","GO:BP",1.16869795603149e-09
"117","protein phosphorylation","GO:BP",1.42314377748982e-09
"118","positive regulation of multicellular organismal process","GO:BP",1.42330742336797e-09
"119","gene expression","GO:BP",1.48976719389977e-09
"120","mitotic sister chromatid segregation","GO:BP",1.50388809627309e-09
"121","positive regulation of cellular metabolic process","GO:BP",1.94221530809666e-09
"122","negative regulation of cell death","GO:BP",1.99290908805634e-09
"123","catabolic process","GO:BP",2.06467358935768e-09
"124","cell motility","GO:BP",2.07839937211774e-09
"125","localization of cell","GO:BP",2.07839937211774e-09
"126","macromolecule biosynthetic process","GO:BP",2.15956102003881e-09
"127","circulatory system development","GO:BP",2.35144460269111e-09
"128","negative regulation of response to stimulus","GO:BP",2.38494079382329e-09
"129","mitotic nuclear division","GO:BP",2.40881744002636e-09
"130","symbiotic process","GO:BP",2.54093036305299e-09
"131","response to oxygen-containing compound","GO:BP",3.01260563237505e-09
"132","response to external stimulus","GO:BP",3.07582234362289e-09
"133","heterocycle metabolic process","GO:BP",3.09422628603685e-09
"134","cellular response to stress","GO:BP",3.82952016609536e-09
"135","regulation of biological quality","GO:BP",3.84838855806944e-09
"136","regulation of signal transduction","GO:BP",4.06527784220063e-09
"137","viral process","GO:BP",5.314709072075e-09
"138","regulation of intracellular signal transduction","GO:BP",6.07907321341492e-09
"139","cellular nitrogen compound biosynthetic process","GO:BP",6.62706135535713e-09
"140","positive regulation of nitrogen compound metabolic process","GO:BP",8.09121581426293e-09
"141","response to endogenous stimulus","GO:BP",1.08466954473259e-08
"142","regulation of organelle organization","GO:BP",1.12675226731034e-08
"143","cellular macromolecule biosynthetic process","GO:BP",1.13154255822103e-08
"144","anatomical structure formation involved in morphogenesis","GO:BP",1.18005984898096e-08
"145","positive regulation of macromolecule metabolic process","GO:BP",1.24828604269188e-08
"146","regulation of locomotion","GO:BP",1.25750473183339e-08
"147","neurogenesis","GO:BP",1.40248603806434e-08
"148","protein targeting to ER","GO:BP",1.50640367442317e-08
"149","positive regulation of cell population proliferation","GO:BP",1.74993196795268e-08
"150","epithelium development","GO:BP",1.78097713780376e-08
"151","nuclear division","GO:BP",1.91201536061727e-08
"152","macromolecule localization","GO:BP",2.03612465023055e-08
"153","chromosome organization","GO:BP",2.95288572211025e-08
"154","microtubule cytoskeleton organization involved in mitosis","GO:BP",2.95942075657001e-08
"155","establishment of protein localization to endoplasmic reticulum","GO:BP",3.80808625215177e-08
"156","sister chromatid segregation","GO:BP",4.18069466384335e-08
"157","negative regulation of programmed cell death","GO:BP",4.46914486327119e-08
"158","regulation of anatomical structure morphogenesis","GO:BP",5.26843552243252e-08
"159","cellular component biogenesis","GO:BP",5.67439964837432e-08
"160","regulation of protein modification process","GO:BP",7.59930570813338e-08
"161","regulation of cell differentiation","GO:BP",7.94441716148769e-08
"162","response to abiotic stimulus","GO:BP",8.3266632431915e-08
"163","negative regulation of apoptotic process","GO:BP",9.92763173641048e-08
"164","positive regulation of developmental process","GO:BP",1.0257007128675e-07
"165","interspecies interaction between organisms","GO:BP",1.08110811853728e-07
"166","regulation of protein phosphorylation","GO:BP",1.22398658117072e-07
"167","nuclear chromosome segregation","GO:BP",1.31954409419018e-07
"168","cytoskeleton organization","GO:BP",1.3212819052815e-07
"169","cellular protein modification process","GO:BP",1.35836329865677e-07
"170","protein modification process","GO:BP",1.35836329865677e-07
"171","intracellular signal transduction","GO:BP",1.50278757507615e-07
"172","small molecule biosynthetic process","GO:BP",1.5634271750649e-07
"173","positive regulation of phosphorus metabolic process","GO:BP",1.99437181891943e-07
"174","positive regulation of phosphate metabolic process","GO:BP",1.99437181891943e-07
"175","cell surface receptor signaling pathway","GO:BP",2.02379552626696e-07
"176","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","GO:BP",2.124713916762e-07
"177","positive regulation of transferase activity","GO:BP",2.25069750256207e-07
"178","mitotic spindle organization","GO:BP",2.33171882194845e-07
"179","generation of neurons","GO:BP",2.47050103792394e-07
"180","positive regulation of phosphorylation","GO:BP",2.59815669504867e-07
"181","protein targeting to membrane","GO:BP",2.81301577190843e-07
"182","reproductive process","GO:BP",2.87022140624484e-07
"183","positive regulation of cell death","GO:BP",3.00121596060081e-07
"184","reproduction","GO:BP",3.32985340121441e-07
"185","peptide metabolic process","GO:BP",3.48050284790984e-07
"186","cellular component assembly","GO:BP",3.73439957737743e-07
"187","organelle fission","GO:BP",3.80727833561593e-07
"188","negative regulation of developmental process","GO:BP",3.84958620200155e-07
"189","positive regulation of catalytic activity","GO:BP",3.96016824113773e-07
"190","negative regulation of catalytic activity","GO:BP",7.1414707769162e-07
"191","protein localization to membrane","GO:BP",7.33227954388938e-07
"192","negative regulation of cell communication","GO:BP",7.616172285289e-07
"193","protein localization","GO:BP",8.12230522730195e-07
"194","negative regulation of signaling","GO:BP",8.38145653196552e-07
"195","tube morphogenesis","GO:BP",8.52025920175197e-07
"196","nucleobase-containing compound catabolic process","GO:BP",8.5973763559575e-07
"197","cell development","GO:BP",8.7054469314885e-07
"198","negative regulation of cell differentiation","GO:BP",9.15478800397853e-07
"199","cell cycle phase transition","GO:BP",9.15478800397853e-07
"200","positive regulation of molecular function","GO:BP",9.19739287791808e-07
"201","macromolecule modification","GO:BP",9.49570770753141e-07
"202","cellular macromolecule localization","GO:BP",1.03157338458033e-06
"203","translational initiation","GO:BP",1.05131918867738e-06
"204","organic cyclic compound catabolic process","GO:BP",1.22238670001325e-06
"205","cellular protein localization","GO:BP",1.29449147680597e-06
"206","negative regulation of protein metabolic process","GO:BP",1.36523274386714e-06
"207","negative regulation of cellular protein metabolic process","GO:BP",1.72746899576449e-06
"208","blood vessel morphogenesis","GO:BP",1.77056187318764e-06
"209","negative regulation of cell cycle","GO:BP",2.21187952273436e-06
"210","negative regulation of signal transduction","GO:BP",2.28518813650322e-06
"211","angiogenesis","GO:BP",2.43999203841671e-06
"212","small molecule metabolic process","GO:BP",2.5920084619538e-06
"213","aromatic compound catabolic process","GO:BP",2.74923269767333e-06
"214","blood vessel development","GO:BP",2.79546071106671e-06
"215","positive regulation of response to stimulus","GO:BP",2.91095392244638e-06
"216","response to lipid","GO:BP",3.08131651526698e-06
"217","positive regulation of cellular protein metabolic process","GO:BP",3.89303439005387e-06
"218","regulation of kinase activity","GO:BP",3.9063486639123e-06
"219","cellular amide metabolic process","GO:BP",4.12597880178048e-06
"220","cellular catabolic process","GO:BP",4.15949291556216e-06
"221","mitotic cell cycle phase transition","GO:BP",4.25830147454445e-06
"222","establishment of protein localization to membrane","GO:BP",4.4985392967507e-06
"223","immune system process","GO:BP",4.7778962381123e-06
"224","regulation of cell cycle process","GO:BP",5.21596445665763e-06
"225","heterocycle catabolic process","GO:BP",5.31480775353681e-06
"226","organonitrogen compound biosynthetic process","GO:BP",6.30511655153769e-06
"227","negative regulation of cellular biosynthetic process","GO:BP",6.42275228037911e-06
"228","sensory organ development","GO:BP",6.56960814605348e-06
"229","cellular nitrogen compound catabolic process","GO:BP",6.58869231176644e-06
"230","nucleic acid metabolic process","GO:BP",6.72977827663012e-06
"231","vasculature development","GO:BP",7.37908503753774e-06
"232","cell adhesion","GO:BP",8.99600209476916e-06
"233","negative regulation of biosynthetic process","GO:BP",9.73261089896244e-06
"234","regulation of protein kinase activity","GO:BP",1.04077330520421e-05
"235","negative regulation of cell population proliferation","GO:BP",1.08542444098211e-05
"236","biological adhesion","GO:BP",1.17749099631583e-05
"237","positive regulation of signaling","GO:BP",1.17955962319256e-05
"238","organic cyclic compound biosynthetic process","GO:BP",1.52990254505249e-05
"239","negative regulation of cellular macromolecule biosynthetic process","GO:BP",1.67829970969329e-05
"240","positive regulation of protein metabolic process","GO:BP",1.69858566746174e-05
"241","positive regulation of cell communication","GO:BP",1.71857688981883e-05
"242","regulation of cell development","GO:BP",1.9763866472601e-05
"243","nucleobase-containing small molecule metabolic process","GO:BP",2.22820143849969e-05
"244","negative regulation of macromolecule biosynthetic process","GO:BP",2.29035973347365e-05
"245","carboxylic acid metabolic process","GO:BP",2.3454417180138e-05
"246","regulation of response to stress","GO:BP",2.52950040168795e-05
"247","regulation of mitotic cell cycle","GO:BP",2.63459184437115e-05
"248","cellular response to oxygen-containing compound","GO:BP",2.6647541937237e-05
"249","positive regulation of protein phosphorylation","GO:BP",3.46951974179123e-05
"250","positive regulation of apoptotic process","GO:BP",3.76727589317409e-05
"251","RNA metabolic process","GO:BP",4.4086874448654e-05
"252","regulation of MAPK cascade","GO:BP",4.8772566701222e-05
"253","developmental process involved in reproduction","GO:BP",5.01430647588372e-05
"254","positive regulation of programmed cell death","GO:BP",5.19247649182711e-05
"255","positive regulation of cell migration","GO:BP",5.5136138152487e-05
"256","DNA conformation change","GO:BP",5.5148294240817e-05
"257","organophosphate metabolic process","GO:BP",6.35931675730723e-05
"258","DNA packaging","GO:BP",6.73969831817578e-05
"259","microtubule cytoskeleton organization","GO:BP",7.38403366925282e-05
"260","regulation of nervous system development","GO:BP",7.50855845195465e-05
"261","negative regulation of organelle organization","GO:BP",7.57457667974021e-05
"262","aromatic compound biosynthetic process","GO:BP",7.6358519194178e-05
"263","spindle assembly","GO:BP",8.13312399477479e-05
"264","nucleobase-containing compound biosynthetic process","GO:BP",8.70572331445488e-05
"265","positive regulation of cellular component movement","GO:BP",8.97558282859916e-05
"266","response to organic cyclic compound","GO:BP",8.98431501668629e-05
"267","enzyme linked receptor protein signaling pathway","GO:BP",9.20998679627134e-05
"268","gliogenesis","GO:BP",9.65383075998969e-05
"269","positive regulation of protein modification process","GO:BP",9.90320275928457e-05
"270","system process","GO:BP",0.000104351227501586
"271","regulation of biosynthetic process","GO:BP",0.000121571115358277
"272","MAPK cascade","GO:BP",0.000125676494151032
"273","response to cytokine","GO:BP",0.000163176686912247
"274","positive regulation of cell motility","GO:BP",0.000172436189404377
"275","peptide biosynthetic process","GO:BP",0.000179591138517547
"276","signal transduction by protein phosphorylation","GO:BP",0.000180200571931731
"277","ameboidal-type cell migration","GO:BP",0.000207985979345754
"278","heterocycle biosynthetic process","GO:BP",0.000235356945588536
"279","organic acid metabolic process","GO:BP",0.000245551671193066
"280","central nervous system development","GO:BP",0.000251247938814276
"281","oxoacid metabolic process","GO:BP",0.000281715555570187
"282","translation","GO:BP",0.000284534932685587
"283","chemotaxis","GO:BP",0.000286744213852352
"284","taxis","GO:BP",0.00032464291688478
"285","regulation of protein serine/threonine kinase activity","GO:BP",0.000324948697501127
"286","regulation of neurogenesis","GO:BP",0.000348349362909963
"287","response to hormone","GO:BP",0.000349750812040557
"288","intracellular transport","GO:BP",0.000350667698310087
"289","negative regulation of transferase activity","GO:BP",0.000358088072721047
"290","regulation of leukocyte proliferation","GO:BP",0.000364380033075378
"291","nuclear-transcribed mRNA catabolic process","GO:BP",0.000364380033075378
"292","regulation of cellular biosynthetic process","GO:BP",0.000373665951665867
"293","regulation of cellular component biogenesis","GO:BP",0.000378425175887008
"294","regulation of apoptotic signaling pathway","GO:BP",0.000379236380899721
"295","mesenchymal cell differentiation","GO:BP",0.000407600146818454
"296","apoptotic signaling pathway","GO:BP",0.000407917188355711
"297","positive regulation of locomotion","GO:BP",0.000442209474847571
"298","positive regulation of cell differentiation","GO:BP",0.000479735819047387
"299","DNA biosynthetic process","GO:BP",0.000512651109539934
"300","leukocyte proliferation","GO:BP",0.000524163038097693
"301","negative regulation of cellular component movement","GO:BP",0.000574198131508836
"302","cell cycle G1/S phase transition","GO:BP",0.000693197288181309
"303","positive regulation of intracellular signal transduction","GO:BP",0.00083926148701654
"304","response to nitrogen compound","GO:BP",0.000907530646568736
"305","viral transcription","GO:BP",0.00091157956656495
"306","epithelial cell proliferation","GO:BP",0.000918582139417312
"307","macromolecule catabolic process","GO:BP",0.000922259768986818
"308","regulation of cell adhesion","GO:BP",0.000933654358819123
"309","mesenchyme development","GO:BP",0.000986699524584215
"310","monocarboxylic acid metabolic process","GO:BP",0.00101340300765472
"311","vesicle-mediated transport","GO:BP",0.00101524162671816
"312","regulation of mononuclear cell proliferation","GO:BP",0.00102257491406854
"313","RNA catabolic process","GO:BP",0.0010856012425475
"314","regulation of mitotic sister chromatid separation","GO:BP",0.00115140947019653
"315","epithelial cell differentiation","GO:BP",0.0012038668864147
"316","carbohydrate derivative metabolic process","GO:BP",0.00121733600707509
"317","nucleoside phosphate metabolic process","GO:BP",0.00128552720194191
"318","neuron differentiation","GO:BP",0.00136586912822348
"319","cellular response to growth factor stimulus","GO:BP",0.00147801925278195
"320","cell activation","GO:BP",0.00151272422938036
"321","viral gene expression","GO:BP",0.00158966185225715
"322","negative regulation of mitotic sister chromatid separation","GO:BP",0.00161701634204925
"323","negative regulation of chromosome separation","GO:BP",0.00161701634204925
"324","response to oxidative stress","GO:BP",0.00165157282175265
"325","regulation of chromosome segregation","GO:BP",0.00174350383134446
"326","mRNA catabolic process","GO:BP",0.00179000037416945
"327","proteolysis","GO:BP",0.00179347255609404
"328","cellular response to cytokine stimulus","GO:BP",0.00182003225038705
"329","chromosome separation","GO:BP",0.00182916820816918
"330","amide biosynthetic process","GO:BP",0.00188709608788185
"331","positive regulation of kinase activity","GO:BP",0.0019041835641349
"332","positive regulation of signal transduction","GO:BP",0.0019099301878184
"333","response to organonitrogen compound","GO:BP",0.00195952049111612
"334","regulation of macromolecule biosynthetic process","GO:BP",0.00201656735880374
"335","positive regulation of protein kinase activity","GO:BP",0.00204934975530406
"336","nucleotide metabolic process","GO:BP",0.00208213929063012
"337","positive regulation of biosynthetic process","GO:BP",0.00220172201019435
"338","mononuclear cell proliferation","GO:BP",0.00227081457228971
"339","mitotic sister chromatid separation","GO:BP",0.00229221913579849
"340","response to UV","GO:BP",0.00237776793412181
"341","regulation of epithelial cell proliferation","GO:BP",0.00241185437926542
"342","response to mechanical stimulus","GO:BP",0.00243572678511168
"343","response to growth factor","GO:BP",0.00247723954393428
"344","regulation of nucleobase-containing compound metabolic process","GO:BP",0.00251138342638306
"345","protein localization to organelle","GO:BP",0.00267185680433765
"346","modulation of chemical synaptic transmission","GO:BP",0.00277826927949651
"347","negative regulation of nucleobase-containing compound metabolic process","GO:BP",0.00278017488767643
"348","organic substance transport","GO:BP",0.00282178402722074
"349","nitrogen compound transport","GO:BP",0.00283067704431507
"350","regulation of chromosome separation","GO:BP",0.00285316969185605
"351","positive regulation of nervous system development","GO:BP",0.00290911893687979
"352","positive regulation of cell development","GO:BP",0.0029528066098128
"353","regulation of trans-synaptic signaling","GO:BP",0.00298249345153006
"354","regulation of lymphocyte proliferation","GO:BP",0.00312593092403736
"355","embryo development","GO:BP",0.00314778217634037
"356","regulation of mitotic nuclear division","GO:BP",0.00319389460064429
"357","sensory system development","GO:BP",0.00321570584545196
"358","glial cell differentiation","GO:BP",0.00332405436469861
"359","regulation of cell cycle phase transition","GO:BP",0.00337987862062741
"360","establishment of protein localization","GO:BP",0.00364152448805314
"361","negative regulation of nuclear division","GO:BP",0.00373975196814498
"362","regulation of vasculature development","GO:BP",0.00376729195538699
"363","negative regulation of cell cycle process","GO:BP",0.0038746564500481
"364","protein-DNA complex assembly","GO:BP",0.00399660664529763
"365","positive regulation of cellular component organization","GO:BP",0.00399912144540762
"366","growth","GO:BP",0.00401637688799937
"367","negative regulation of mitotic sister chromatid segregation","GO:BP",0.00406100786631444
"368","cellular response to endogenous stimulus","GO:BP",0.00432491464874905
"369","lymphocyte apoptotic process","GO:BP",0.00435592954812412
"370","lens development in camera-type eye","GO:BP",0.00460615653107391
"371","positive regulation of cellular biosynthetic process","GO:BP",0.00464869456460335
"372","G1/S transition of mitotic cell cycle","GO:BP",0.00466430500243973
"373","secretion","GO:BP",0.00471461409955194
"374","camera-type eye development","GO:BP",0.00477611968748004
"375","deoxyribonucleotide biosynthetic process","GO:BP",0.00486545035631943
"376","regeneration","GO:BP",0.00495813524994367
"377","regulation of binding","GO:BP",0.00497218813787546
"378","negative regulation of cell growth","GO:BP",0.00508767860994559
"379","regulation of cellular macromolecule biosynthetic process","GO:BP",0.00525682200212417
"380","regulation of transport","GO:BP",0.00526996880657352
"381","negative regulation of chromosome segregation","GO:BP",0.00540162385384065
"382","negative regulation of sister chromatid segregation","GO:BP",0.00540162385384065
"383","cellular response to UV","GO:BP",0.0054131150244974
"384","mitotic spindle assembly checkpoint","GO:BP",0.00557384888455791
"385","spindle assembly checkpoint","GO:BP",0.00557384888455791
"386","mitotic spindle checkpoint","GO:BP",0.00557384888455791
"387","spindle checkpoint","GO:BP",0.00557384888455791
"388","lymphocyte proliferation","GO:BP",0.00563877913895853
"389","negative regulation of phosphate metabolic process","GO:BP",0.00564460024144632
"390","response to oxygen levels","GO:BP",0.00571861427525902
"391","eye development","GO:BP",0.00574711141151164
"392","regulation of cell morphogenesis","GO:BP",0.00584872684524973
"393","metaphase/anaphase transition of mitotic cell cycle","GO:BP",0.00587644300261742
"394","leukocyte apoptotic process","GO:BP",0.00591201476904341
"395","negative regulation of phosphorus metabolic process","GO:BP",0.00597352740663348
"396","negative regulation of mitotic nuclear division","GO:BP",0.00597824983482394
"397","positive regulation of nucleobase-containing compound metabolic process","GO:BP",0.00612840833139378
"398","negative regulation of growth","GO:BP",0.00620676143460814
"399","nervous system process","GO:BP",0.00637066930504783
"400","regulation of mitotic sister chromatid segregation","GO:BP",0.0065286885735184
"401","visual system development","GO:BP",0.00663273946363117
"402","reproductive system development","GO:BP",0.00663374221092616
"403","leukocyte activation","GO:BP",0.00672649880608762
"404","tissue morphogenesis","GO:BP",0.00699549613261758
"405","positive regulation of MAPK cascade","GO:BP",0.00700242606973118
"406","regulation of DNA biosynthetic process","GO:BP",0.00708603387241313
"407","negative regulation of response to external stimulus","GO:BP",0.00714334121426317
"408","metaphase/anaphase transition of cell cycle","GO:BP",0.00730494151241907
"409","metaphase plate congression","GO:BP",0.00730494151241907
"410","purine nucleoside diphosphate metabolic process","GO:BP",0.0075970651775671
"411","purine ribonucleoside diphosphate metabolic process","GO:BP",0.0075970651775671
"412","regulation of RNA metabolic process","GO:BP",0.00761992404674872
"413","negative regulation of RNA metabolic process","GO:BP",0.00762136225159051
"414","negative regulation of immune system process","GO:BP",0.00795401632187897
"415","learning or memory","GO:BP",0.00813157477179735
"416","regulation of immune system process","GO:BP",0.00826439479467117
"417","regulation of cytoskeleton organization","GO:BP",0.00840248675983807
"418","regulation of nuclear division","GO:BP",0.00874971975555157
"419","cell cycle checkpoint","GO:BP",0.00888855129739359
"420","regulation of response to external stimulus","GO:BP",0.00899184786021566
"421","regulation of mitotic cell cycle phase transition","GO:BP",0.00917246704086673
"422","positive regulation of cell cycle","GO:BP",0.00942917536111458
"423","epithelial cell migration","GO:BP",0.00962074717474619
"424","export from cell","GO:BP",0.00972915825673763
"425","negative regulation of locomotion","GO:BP",0.00991743787671485
"426","signal transduction by p53 class mediator","GO:BP",0.0100200149273735
"427","positive regulation of gene expression","GO:BP",0.010199671729301
"428","positive regulation of neurogenesis","GO:BP",0.0102448264455582
"429","negative regulation of transcription, DNA-templated","GO:BP",0.0103026251858688
"430","negative regulation of mitotic metaphase/anaphase transition","GO:BP",0.010338935442271
"431","negative regulation of metaphase/anaphase transition of cell cycle","GO:BP",0.010338935442271
"432","animal organ morphogenesis","GO:BP",0.0105301036011988
"433","cellular response to lipid","GO:BP",0.0105590873214501
"434","membrane organization","GO:BP",0.0108192966027138
"435","regulation of gliogenesis","GO:BP",0.0108753804887089
"436","chromatin assembly","GO:BP",0.0111172827019847
"437","ribonucleoside diphosphate metabolic process","GO:BP",0.0111172827019847
"438","protein transport","GO:BP",0.0111416223769951
"439","cell morphogenesis","GO:BP",0.0111902543778477
"440","epithelium migration","GO:BP",0.0112875873493454
"441","negative regulation of phosphorylation","GO:BP",0.0113662551366305
"442","gland development","GO:BP",0.011491383177367
"443","secretion by cell","GO:BP",0.0116218024705924
"444","reproductive structure development","GO:BP",0.0122520451700069
"445","regulation of stress fiber assembly","GO:BP",0.0123119829540886
"446","multi-organism reproductive process","GO:BP",0.0124529460385294
"447","protein targeting","GO:BP",0.0125882191623307
"448","neuron death","GO:BP",0.0127197426669079
"449","nucleoside diphosphate metabolic process","GO:BP",0.0128534305142465
"450","regulation of stress-activated MAPK cascade","GO:BP",0.0128942504304285
"451","negative regulation of nervous system development","GO:BP",0.0132164714102256
"452","mitotic spindle assembly","GO:BP",0.0136060077575801
"453","muscle structure development","GO:BP",0.0138594700455493
"454","cognition","GO:BP",0.0138737663517584
"455","regulation of cyclin-dependent protein kinase activity","GO:BP",0.014650668583395
"456","multi-organism process","GO:BP",0.0149969224736598
"457","regulation of lymphocyte activation","GO:BP",0.0153499168801466
"458","chromatin assembly or disassembly","GO:BP",0.0159637523924737
"459","B cell apoptotic process","GO:BP",0.0163861208888394
"460","tissue migration","GO:BP",0.0166828990702403
"461","establishment of chromosome localization","GO:BP",0.0166984269450869
"462","chromosome localization","GO:BP",0.0166984269450869
