pName,countDE,countAll,pv_fdr,pAcc_fdr,pComb_fdr,pORA_fdr
"Glycolysis / Gluconeogenesis",2,67,0.037052425743706,,,0.0118740448434529
"Aldosterone-regulated sodium reabsorption",1,37,0.0374959184880677,0.243961352657005,0.0408288890203404,0.0995668861854988
"Autophagy - animal",1,137,0.0423325997268008,0.243961352657005,0.0455189244374202,0.234931386313533
"Malaria",1,50,0.0695938651831199,0.24901185770751,0.0739434817570649,0.12391232408965
"Mitophagy - animal",1,68,0.0786146110586621,0.24901185770751,0.0825850459606148,0.150443479295426
"Synthesis and degradation of ketone bodies",1,10,0.0808170588479064,,,0.0316297027638401
"Longevity regulating pathway",2,89,0.0890125968974703,0.966692092550216,0.0942486320090861,0.0196339797964825
"T cell receptor signaling pathway",1,103,0.102674681472431,0.24901185770751,0.107563952018737,0.196764511947284
"Phagosome",2,149,0.112489438131594,,,0.0485902811129026
"Choline metabolism in cancer",1,98,0.11356189460155,0.24901185770751,0.11987088874608,0.190635045131629
"Huntington disease",2,293,0.130937276221769,0.385507246376812,0.136541614227703,0.13395728274548
"African trypanosomiasis",1,36,0.132267372554982,0.456335934596804,0.136541614227703,0.0987866977745618
"Shigellosis",2,244,0.132267372554982,0.433999216607912,0.136541614227703,0.104979145217072
"Terpenoid backbone biosynthesis",1,22,0.132267372554982,,,0.0647504896303902
"Vitamin digestion and absorption",1,24,0.139299002832047,,,0.0691351724991717
"Platinum drug resistance",1,72,0.141719819947124,0.385507246376812,0.14880581094448,0.153952458317583
"Toxoplasmosis",1,110,0.159331768289885,0.352657004830918,0.163285803108608,0.206065763090182
"Type II diabetes mellitus",1,46,0.159331768289885,0.472958642629905,0.163285803108608,0.116388605171713
"Bacterial invasion of epithelial cells",1,77,0.159574762128867,0.39177185600748,0.163285803108608,0.161513283129357
"Axon guidance",1,181,0.164068134777814,0.258349086326402,0.166554015607781,0.284875495784971
"Acute myeloid leukemia",1,67,0.171978928001486,0.433999216607912,0.173252845986683,0.150443479295426
"Tryptophan metabolism",1,42,0.191772718406445,,,0.10852887841795
"Wnt signaling pathway",1,160,0.23996955819338,0.385507246376812,0.243447377877342,0.259305095813134
"Steroid hormone biosynthesis",1,61,0.244551240605323,,,0.144796454674293
"Lysine degradation",1,63,0.246743107944298,,,0.146847077054092
"Parkinson disease",1,236,0.252459922474415,0.361204013377926,0.261412401994785,0.342883085129905
"Kaposi sarcoma-associated herpesvirus infection",1,193,0.257434864656988,0.385507246376812,0.264585833119682,0.297213617620282
"Adherens junction",1,71,0.257632512905924,,,0.153952458317583
"Hematopoietic cell lineage",1,96,0.312163041419403,,,0.190635045131629
"Fc epsilon RI signaling pathway",1,67,0.35943984065136,0.932903918411165,0.37655602353952,0.150443479295426
"Prostate cancer",1,97,0.372632616819697,0.823928461301264,0.386043610673696,0.190635045131629
"Apoptosis",1,136,0.372632616819697,0.688237276710482,0.386043610673696,0.234931386313533
"Sphingolipid signaling pathway",1,119,0.372632616819697,0.759552042160738,0.386043610673696,0.215380689112727
"Ubiquitin mediated proteolysis",1,140,0.372632616819697,,,0.236456609778676
"Pathways of neurodegeneration - multiple diseases",1,462,0.405634136811767,0.409420289855073,0.415649794510823,0.55115006948747
"Osteoclast differentiation",1,125,0.405634136811767,0.823928461301264,0.415649794510823,0.222166519679976
"mTOR signaling pathway",1,154,0.460678761783298,0.823928461301264,0.466163032756909,0.253936430751484
"Neurotrophin signaling pathway",1,119,0.460678761783298,0.932903918411165,0.466163032756909,0.215380689112727
"Proteoglycans in cancer",1,205,0.632498821858,0.959156785243742,0.636197645377637,0.308942305142283
"Alzheimer disease",1,356,0.798857508624279,0.966692092550216,0.798857508624279,0.465464296224272
